Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Benefits in Action,720-221-8354,https://www.benefitsinaction.org/ info@benefitsinaction.org,"12157 W Cedar Dr. Ste 100 Lakewood CO, 80228","Contacts that help sign up for Medicaid/Medicaire, SNAP, TANIF, WIC, Food delivery, Mental Wellness"
"A Woman’s Place, Inc.",720-734-4348,https://www.abbycare.org/paid-family-caregiving/denver-co,"Aurora, Boulder, Castle Rock, Centennial, C/S, Denver, Evergreen, Ft. Collins, Greeley, Lakewood, Longmont, Loveland, Pueblo, Thornton, Westminster",Medicaid pays for parents of kiddos with disabilities to become certified nurse assisstants and get paid by Medicaid for taking care of their children.
Access Point,,https://www.accesswireless.com/?rc=GOG062022&gad_source=1&gclid=CjwKCAiA74G9BhAEEiwA8kNfpePyc45EDYgL07qXo7Ms3AaMcVtp0fhcRDh6FTBJqRyYHsw3qiuLeRoCT0QQAvD_BwE,,Government phone medicaid phone
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only"
Accessia Health,719-373-9703,https://achievewholerecovery.com/,"1115 Elkton Dr, Ste 300, Colorado Springs, CO 80907","MAT and Mental Health Services, detox, takes medicaid, medicare, tricare, private, cash"
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
Aid to the needy disabled,719-636-0000,888-900-5899  https://cdhs.colorado.gov/adult-financial-programs,,"The Aid to the Needy Disabled-Colorado Supplement (AND-CS) program provides a supplemental payment for clients age zero (0) to fifty-nine (59), who are receiving Supplemental Security Income (SSI) due to a disability or blindness and are not receiving the full SSI benefit. The total AND-CS grant standard is $967, effective 01/01/2025"
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; 
American Assistance,877-266-7212,https://www.americanassistance.com/,,"Government phone medicaid phone, sim card application"
American Red Cross of Northern Colorado,733-327-6777,http://redcross.org/get-help.html,N/A,Offers imm financial relief up to $450 to those whose primary residence was damaged/destroyed by Colorado wildfires
Another Life Foundation,719-216-7238,https://www.anotherlifefoundation.com/,801 N Weber St 80903,"Helps sign up for SSI/SSDI/Benefits. Minority mental health professionals, Speakers Bureau, SOAR (social security appointed rep services), the Black Men's Project"
ARC thrift stores Pikes Peak Region,719-471-4800,https://www.thearcppr.org/,"10 N Meade Ave, Colorado Springs, CO, 80909","Promote and protect the rights of individuals with intellectual and Advocacy for individuals with intellectual will help peopland developmental disabilities, IDD, developmental disabilities, facilitate choices and promote independence and inclusion in community life; can help sign up for SSI/SSDI"
Archuletta County Resources List,,https://www.archuletacounty.org/230/Medical-Food-and-Financial-Assistance, ,Resource Database for Archuletta County
Arkansas Valley Resource Center,719-384-7764,https://arkansasvalleyresourcecenter.org/,"Bent, Crowley, & Otero Counties, CO","24/7 crisis line, peer & group counseling, legal advocacy, children’s counseling, financial assistance, advocacy, & emergency shelter."
Army Emergency Relief,888-878-6378,https://www.armyemergencyrelief.org/,"Arlington, VA","To provide grants, interest-free loans and scholarships to promote readiness and help relieve financial distress of Soldiers and their Families."
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset
Ascending to Health Respite Care,719-635-7639,https://www.athrc.com/   referrals@athrc.com ,"1007 S Tejon St, C/S, CO 80903","Partnered with local motels, homeless recoup post hospital care. A couple of EMTs also go around offerring care in real time to the people that can't get normal care. Shelter/housing. Daily vitals check, care coordination w/ specialty providers, transport to appts and from, daily nutrition, benefits enrollment, connection to PCP, behavioral health providers, assistance navigating long-term care and other housing options. ATHRC offers trained/certified peer navigators for substance use disorders. Assistance navigating sover living apps, support services. Respite Care."
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database"
