Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
A Call to Men,,https://www.acalltomen.org/,"250 Merrick Road #813 Rockville Centre, NY 11570","Helping create a world where all men and boys are loving and respectful and all women, girls, and those at the margins of the margins are valued and safe. Has classes for teachers, men, coaches on their website."
A Mom's Guide to Survive,24 hr:970-356-4226,awpdv.org     info@awpdv.org   business: 970-351-0476,"Greeley, CO 80632","24/7 crisis line, emergency shelter, advocacy, case management, legal advocacy, housing advocacy, employment support, counseling, & education"
"Abundant Life Community Support Services, LLC",719-301-6106,https://coloradohealthnetwork.org/prevention-health-education/access-point/,"875 W Moreno Ave, Colorado Springs, CO 80905","Harm Reduction Services, syringe access program; multiple locations and limited hours, look at website"
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services"
Aerial clinical services,719-260-6110,719-301-2229   Fax: +1-888-302-6356  https://arielcpa.org/,"2145 Academy Cir, Colorado Springs, CO 80909","Adult services: adults with IDD-residential services w/diff levels of support, vocational services, day program, behavioral services, therapy. WAIVERS: HCBS-DD, HCBS-SLS, HCBS-CES. Children resource database."
Affordable Housing Institute,,https://www.msudenver.edu/innovative-lifelong-learning/professional-development/housing-funding/,214 Cambridge St,"MSU Denver classes used to help tackle housing crisis in Colorado with classes on financing, property management, residential services"
All Breed Rescue and Training,(719) 264-6460,http://haveanicedog.org/,"410 1/2 E Fillmore St, Colorado Springs, CO 80907","All Breed Rescue & Training (ABRT) is a 501(c)(3) nonprofit dog rescue and training organization based in Colorado Springs. Since 1994, we’ve been rescuing, rehabilitating, and finding forever families for dogs deemed unadoptable and facing euthanasia. Our 98% adoption success rate proves that our positive reinforcement- and relationship-based training works. And we offer this training to the whole community—our many on-site, certified, trainers can help make your canine a happy member of your family, always."
"Alliance, The",719-539-7347,https://alliancechaffee.org/,"1055 E Rainbow Blvd, Salida, CO 81201","domestic violence assistance: 24/7 help line, legal court advocacy, housing assistance, support group, medical care, referrals to other sources, counseling; education for violence prevention and supporting services"
Alternative Horizons,970-247-9619,http://alternativehorizons.org/,Deborah Cave at cocafcave@yahoo.com,"24/7 hotline and advocacy services, criminal court services, bridges of hope legal project, domestic violence advocacy-based counseling services, education/awareness; resource database: stats, facts & warning signs, how to help someone being abused, diverse populations, safety planning"
American Sign Language ASL Comm Classes,719-578-2100,https://csdb.colorado.gov/outreach/asl-community-classes?embedded_webview,,American Sign Language classes
Ascending to Health Respite Care,719-635-7639,https://www.athrc.com/   referrals@athrc.com ,"1007 S Tejon St, C/S, CO 80903","Partnered with local motels, homeless recoup post hospital care. A couple of EMTs also go around offerring care in real time to the people that can't get normal care. Shelter/housing. Daily vitals check, care coordination w/ specialty providers, transport to appts and from, daily nutrition, benefits enrollment, connection to PCP, behavioral health providers, assistance navigating long-term care and other housing options. ATHRC offers trained/certified peer navigators for substance use disorders. Assistance navigating sover living apps, support services. Respite Care."
Assisstance League,719-475-1029,https://www.assistanceleague.org/colorado-springs/   assistanceleague@al-cos.org,"405 S Nevada Ave, 80903","Family and children assistance, children clothing for school, hearing tests for class, for kids coming of age and out of the system a mattress box spring frame and bedding for first place, stuffed bear for kiddos surviving trauma; thrift store bargain box"
Atlas Prepatory Grade School,719-559-7737,https://www.atlasprep.org/,"1515 Pulsar Dr, 80916","Tuition free school, bi-lingual, public charter school, teaches core curriculum, trade skills"
Atlas Prepatory High School,719-302-2002,atlasprep.org,"1450 Academy Park Look, 80910","Tuition free school, bi-lingual, public charter school, teaches core curriculum, trade skills"
Atlas Prepatory Middle School,719-358-7196,https://www.atlasprep.org/,"1602 S Murray Blvd, 80916","Tuition free school, bi-lingual, public charter school, teaches core curriculum, trade skills"
Basic Computer Classes,,https://research.ppld.org/adult-education/home,https://ppld.librarymarket.com/?program_types[162]=162&branches[387]=387&branches[375]=375&branches[86]=86&branches[87]=87&branches[88]=88&branches[89]=89&branches[382]=382&branches[90]=90&branches[91]=91&branches[92]=92&branches[93]=93&branches[94]=94&branches[95]=95&branches[96]=96&branches[97]=97&branches[98]=98&branches[99]=99&branches[100]=100&branches[80]=80,"Beginner classes for computers, peripherals, internet basics, email basics, word"
Battlefields 2 Ballfields,,battlefields2ballfields.org,,Offers scholarships to train vets to become umpires and officials for local sports
Best Buddies,800-892-8339,https://www.bestbuddies.org/colorado/,"Aurora, CO",National organizatin that pairs those with autism in high school with friends for socialization and companionship
Better Offer,,betterofferco.org,,"Helps individuals find job training programs that put them on the path to earning at least 40,000/year"
Black Youth Success Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us,https://www.cornerstonemovement.org/bysm,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
Bone Marrow and Cancer Foundation,212-838-3029,http://bonemarrow.org/,"515 Madison Ave, Ste 1130, NY NY",Financial assistance for those waiting for bone marrow/stem cell/cord blood transplants; survivors can have educational fund
Boys and Girls Club of America,719-570-7077  719-473-3490  719-570-6242,https://www.bgcppr.org/,1307 Aeroplaza Dr/805 Praderia Ave/ 1455 S Chelton Rd,"Youth arts, education and career development, character and leadership development, health and life skills, sports, fitness and recreation"
Boys Town National Hotline,800-448-3000,,,"The Boys Town National Hotline is open 24 hours a day, 365 days a year and staffed by specially trained counselors. Parents, teens and families can find help with a range of issues including abuse, anger, depression, school issues, bullying etc."
Brain Injury Association of Colorado,303-355-9969,https://biacolorado.org/,"Denver, CO","Provides or guides people sufferring from brain injuries for clinical therapy services, education, recreation programs (hiking, cycling, rafting, skiing, tubing and ice fishing); in Denver a housing complex for those with special needs and TBI"
Breckenridge Outdoor Education Center,970-453-6422,boec.org,"boec@boec.org  524 Wellington Rd, Breckenridge, CO 80424","Outdoor learning experience for differently abled, those with a disability/special need; adaptive skiing and snowboard program, paddling great rivers, high ropes course, offers camps and retreats for individuals and custom group programs to anyone with any type of disability throught the calendar year, scholarships for participants with financial needs"
Bright Future Foundation,970-949-7086,https://mybrightfuture.org/,"Avon, CO","24/7 crisis line, emergency shelter, housing program, behavioral health services, legal representation, youth advocacy & mentorship, sexual assault examination/forensic nurse support, & education"
Bryson's Chase Foundation,,https://www.koaa.com/news/positively-colorado/mother-son-create-nonprofit-to-help-raise-funds-for-mental-health-resources,,have health coaches and licensed clinicians that are going into the different school districts and seeing students and providing resilience-based services.
C3 Colorado Circular Communities,,coloradocircularcommunities.org,,"Learning about Reusing, Reducing, Recycling programs"
Care Options for Kids,,https://careoptionsforkids.com/,,"Pediatric home care (from basic to medically complex care), pediatric therapy (speech, occupational, physical), school based services (hybrid, remote, in-person therapy), adult home care (personal, companion)"
Career One High School,719-531-6333,https://pikespeak.careeronlinehs.org/how-it-works/,https://ppld.org/cohs,Career Online High School (COHS) is an online high school diploma and career certification program funded by Pikes Peak Library District. Residents living within the Library District’s service area who have completed eighth grade and are age 18 or older are eligible to apply. Ready to get started?
Career Online High School,719-531-6333,https://ppld.org/cohs,https://pikespeak.careeronlinehs.org/how-it-works/,Free online GED/high school diploma sign up page
Cases of Love,,https://www.facebook.com/CasesofLoveSuitCasesForFosterKids/?__cft__%5b0%5d=AZUe1oekhGUaul3ZlUVBpwbT4PD3xB2Z_skliwjjqanXeSxri786eKHZ9rGUNWWNTWbpO9YTMCgmLOp9VzCBA6iQ8vRi6vkdQjzaDvaYAxzVfcrEvMCfu7Z2CfzhuskTj5T83kBpqNbfsvQ5dmMD890qobT-QUPT23RLduGRWbRIgzEnY0m4ZrUsnZPOnPBGfcs&__tn__=kK-R,Colorado Springs,Suitcases and duffel bags and unopened hygiene products school supplies for foster kids
Catapult Learning,800-841-8730,,info@catapultlearning.com,"Catapult Learning, a division of FullBloom, provides evidence-based intervention programs for students and professional development solutions for teachers in K-12 schools across the country. We partner with 500+ school districts to produce positive outcomes that promote academic and professional growth."
Center for Innovative Design and Engineering,303-315-1280,https://www.ucdenver.edu/center-for-innovative-design-and-engineering/community-engagement/assistive-tech-in-k-12,"1224 5th st, ste 130, Denver, CO 80204",Assistive tech for students with disabilities; can get a referral towards them through department of vocational rehabilitation
Center on Fathering,719-634-7797,DHSCenteronFathering@elpasoco.com,,"Fathering Resources, counseling, classes"
Chapter 31,,https://www.va.gov/careers-employment/vocational-rehabilitation/apply-vre-form-28-1900/start,https://www.va.gov/find-forms/about-form-28-1900/,"Helps Veterans get employment that accomodates their disabilities; helps pay tuition and fees along w/ necessary costs of textbooks and supplies, monthly scholarship and assistance with employment. To apply: visit nearest VA regional office, VA website (link included) mail in 'Application for Veteran Readiness and Employment For Claimants with Service-Connected Disabilities (VA Form 28-1900) and send to Department of Veterans Affairs VR&E Intake Center. PO Box 5210, Janesville, WI 53547-5210"
Chapter 33-Transferred Post-9/11 GI Bill benefit rates,,https://www.va.gov/family-and-caregiver-benefits/education-and-careers/transferred-gi-bill-benefits/rates/,,Rate of college tuition/etc you could get for your service
Charities' Hope,719-332-2360,https://www.charityshopecs.org/   CONTACTUS@CHARITYSHOPECS.ORG ,"201 N Chelton Rd, Colorado Springs, CO, 80909","Food, clothing pantry, rent, utilities, resume, job assistance, school supplies"
CHFA Preferred (Plus) (VLIP),,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-Preferred.aspx, ,"30 year, fixed rate conventional loan, only 3% downpayment required, reduced-cost mortgage insurance required, can be paired with CHFA down payment assistance loan (plus), can be paired with Very Low-Income Program (VLIP)"
Chinook Center,719-675-9917,http://chinookcenter.org/,"2551 Airport Rd #107, Colorado Springs, CO 80910","Resource Center for personal hygiene, office supplies, reusable grocery bags, groceries, groceries delivery, ACLU of Colorado and Chinook launched a 'know your rights certificate series designed to develop activists into community defenders who have a thorough understanding of a person's rights, housing for all campaign, people's college education for the people by the people; colorado springs protest support fund, people's budget"
Chins Up Program-Griffith Centers,719-636-2122,griffethcenters.org,17 N. Farragut Ave 80909,"Provides counseling and support services for families and children through a variety of programs. Therapeutic services focus on youth exhibiting antisocial behavior, drug use, aggression, criminal activity, inappropriate sexual behaviors, and low school performance. Services include individual, group and family therapy; testing and assessment; parenting classes; and vocational training. Family services include home-based therapy for high-risk families in crisis situations; foster care for children who have been victims of child abuse or neglect; and behavioral counseling."
Career Advance Colorado,303-620-4000,https://cccs.edu/press-releases/colorado-community-college-system-launches-free-training-for-in-demand-jobs/,Denver CO 80230,"Might be defunct Free training for construction, education, early childhood education, firefighting, forestry, law enforcement, nursing, resource database"
Colorado Center for the Blind,303-778-1130,cocenter.org,"2233 West Shepperd Ave, Littleton CO 80120","Resources, employment, independence training for adults and children, college readiness, enrichment classes, youth programs, camp for kids, independent living, support groups, technology training, cane travel, taking charge program"
Colorado Division of Vocational Rehab,719-635-3585,https://dvr.colorado.gov/,"633 17th St. Suite 500 Denver, CO 80202","Helping those with disabilities to get work if they wish to work, no matter the disabilities' severity"
Colorado Gleaning Org,,https://nationalgleaningproject.org/gleaning-map/states/colorado/?fwp_state=co,,Colorado food waste reduction resource database
Colorado Network for Developmental Disabilities,719-344-8015,https://www.facebook.com/people/Colorados-Network-for-Developmental-Disabilities/100063832877868/#,UNK,Assists students with developmental disabilities to be included in schools
Colorado Office of Financial Empowerment,720-508-6238,https://coag.gov/resources/ofe/   ofe@coag.gov,"1300 Broadway, 6th floor Centennial","Classes, info and resources for finances/debt"
Colorado Preschool program,303-866-5223,universalpreschool@state.co.us   https://upk.colorado.gov/register?action=apply&subsidyProgramId=bcbc3d9b-5761-4514-9bae-b875bcd69c3d&redirect_url=/applications/bcbc3d9b-5761-4514-9bae-b875bcd69c3d/new,M-F 8a-8p,Preschool vouchers for those in need
Colorado Respite Coalition,303-233-1666,https://www.coloradorespitecoalition.org/,"393 S Harlan St Ste 250, Lakewood CO 80226","Resource database; Colorado Respite Coalition exists to encourage caregivers to take a break. Our vision is that all Colorado family caregivers have access to quality respite care resources—resources that allow them to take a break from caregiving—through a sustainable network that promotes collaboration and innovation. Training and education for caregivers, networking and support for professional caregivers"
Colorado School of Mines,303-273-3000,https://www.mines.edu/,"1500 Illinois St, Golden, CO 80401",Lake County: helping lower utility bills by upgrading outdated systems for low income families and those in trailer parks
Colorado Springs Food Rescue,,SEE FOOD TO POWER,,Colorado Springs food waste reduction program
Colorado State D of Education math toolkit,,cde.state.co.us/comath,,Math learning resources free for all made by department of education
Colorado Veteran's Business Outreach Center,719-772-7000,vboc@mtcarmelcenter.org   veteranscenter.org/vboc,"530 Communication Cir, C/S, CO 80905","workshops, training, counseling, mentorship, resource partner network access"
Comeback Yoga,,comebackyoga.org,,Free in person yoga and online classes for vets and active military and their families
Community Action Partnership,,https://communityactionpartnership.com/our-impact/,,"Resource Database. Embodying our nation’s spirit of hope, America’s Community Action Agencies are a robust state and local force – reaching children and families in 99% of our nation’s counties with life-changing services, from early childhood education to job training services for seniors."
Community Anchor Academy,719-203-4758,thecommunityanchoracademy.org   info@communityanchor.org,"1652 S Circle, Colorado Springs, CO 80910","Empowers under-served communities to remove employment barriers through comprehensive job creation, community support, health, wellness and education initiatives; education, holistic wellness; forklift fridays-offer grants for under/non-employed; if on parole can offer even more opportunities like bus passes and more, clothing for job interviews, barbershop CLASSES, customer service certification"
Community Education Center,970-255-2600,tech@coloradomesa.edu coloradomesa.edu/tech/community-education/index.html,"Grand Junction, Montrose, Online; 2508 Blichmann Ave Grand Junction CO 81505","CMU Tech in partnership with Colorado Mesa University and through the Community Education Center supports lifelong learning for all ages. We are committed to providing educational opportunities for personal enrichment, professional development and even non-credit career training. We offer courses in a variety of formats and time frames to meet your busy schedule."
Computers 4 People,,https://www.computers4people.org/apply,No local location???,"Digital skills classes, tech for underserved, e-waste recycling"
Computers with Causes,720-278-7725   888-228-7320,https://www.computerswithcauses.org/computer-donation-colorado/,"6035 E 38th Ave, Denver, CO, 80207","Tech classes, internet devices, recycling old tech, internet solutions, tech support for all low income/not for profit/families and individuals, tax deduction mentioned for donations   NFP that gives computers, internet tech/etc to under priviledged families/individuals/nfp/schools/etc"
Connections 4 Life Center,719-387-9919,https://c4l-new.homesteadcloud.com/,"501 E Iowa Ave, Fountain 80817","To bring hope, healing, and positive change to those in need by meeting basic physical needs, offering life skills training, crisis support, and providing emotional healing through counseling and prayer."
