Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
A Little Help,720-242-9032,https://alittlehelp.org/,"Denver, CO",Denver based volunteers help elderly with their getting around to help prevent isolation among the senior community
Adopt Us Kids,719-428-6100,https://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918","Case Management, Life-skills, In-home therapy for adults/seniors with mental health"
Adult Community Services,719-444-5755,,,"If an at-risk adult (senior/mentally/physically unable to take care of themselves) is being abused/taken advantage of, call these people)"
Almost Home,303-659-6199,https://www.almosthomeonline.org/,,"Services for Adams, Broomfield, Sourthern Weld Counties housing resource database; emergency assistance, guaranteed income for older adults, housing navigation center, housing stability program, emergency family shelter, severe weather program, street outreach program, respite housing program, rapid re-housing programs, workshops"
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; 
Amazon Worker Whereabouts,888-892-7180,,,"If a client is working in an amazon warehouse and you need to do a whereabout call, call this number to be connected with a work verification specialist and it will give you real time updates about his location at work; has a program to give homeless the gear to make it through the winter cold."
Americorps,800-942-2677,americorps.gov,nationwide,"Federal agency for national service and volunteerism. From mentoring students to supporting disaster recovery, helping older adults age with dignity and tackling other pressing needs, AmeriCorps helps communities across the country. Was defunded by DOGE, reinstated beginning of 2025."
Angel Tree,719-382-1182,https://saangeltree.org/,"May change for this year, 208 Cunningham Dr, 80911","Provides Christmas gifts through Angel Tree to seniors and children in need. Once you have been accepted into the program an Angel will receive your submitted Christmas Wishlist and donors in the community will purchase the new clothes and gifts. Requirements: provide photo ID, proof of residence (envelope?) id for child (birth certificate), detailed info about your request"
Angel's of America's Fallen,719-377-7352,http://www.aoafallen.org/,,"""Angels of America’s Fallen is a 501(c)(3) that empowers children of fallen military, police, fire, and EMS heroes by engaging them in positive activities throughout their entire childhood. We support the children not just one time, but through a commitment to see them engaged positively in healthy activities such as sports, music, and other arts all year, every year, all the way through 18 years old without having to reapply. These provided activities have coaches or instructors who can help provide some positive mentoring the children are missing without the guidance and support of their fallen hero. We also provide trauma-informed client-centered case management, peer support for the surviving parent and children, outreach and referrals."""
Army Emergency Relief,888-878-6378,https://www.armyemergencyrelief.org/,"Arlington, VA","To provide grants, interest-free loans and scholarships to promote readiness and help relieve financial distress of Soldiers and their Families."
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset
Assissted Living Guide,,https://www.assistedliving.org/emergency-housing-guide/,,Help with assissted living for seniors
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database"
Career One High School,719-531-6333,https://pikespeak.careeronlinehs.org/how-it-works/,https://ppld.org/cohs,Career Online High School (COHS) is an online high school diploma and career certification program funded by Pikes Peak Library District. Residents living within the Library District’s service area who have completed eighth grade and are age 18 or older are eligible to apply. Ready to get started?
Cars for Charity Inc. (FreeCharitycars.org ),720-387-5124,http://www.carsforcharity.net/   amandagearhart@carsforcharity.net,"3478 Running Deer Dr, Castle Rock, CO 80109","Cars for Charity, Inc. is a Colorado 501(c)3 non-profit organization. The purpose and mission of Cars for Charity, Inc. is to act as an enabling entity for other non-profit organizations. Many non-profit organizations are unable to have an in-house vehicle donation program, because they financially are unable to spend the money required by the Colorado Department of Revenue to obtain a Dealer's License, bond and do not have the staff, time and expertise to manage an in-house program. Cars for Charity, Inc. eliminates these obstacles. Cars for Charity holds the Dealer's License, the motor vehicle bond, and brokers the donated vehicles to the appropriate facility for direct sale, auction or as scrap."
Colorado School of Mines,303-273-3000,https://www.mines.edu/,"1500 Illinois St, Golden, CO 80401",Lake County: helping lower utility bills by upgrading outdated systems for low income families and those in trailer parks
Colorado Springs Mom Collective-Family Connections-Catholic Charities,719-531-9400,https://cospringsmom.com/directory/listing/peak-parent-center?tab=related&view=map&category=0&zoom=15&is_mile=0&directory_radius=0&sort=oldest&p=1#sabai-inline-content-related,"917 E Moreno Ave Ste 140, 80903","Map of parent centers, fun events calendar"
Colorado Springs Senior Center,719-387-6000,csseniorcenter.com,1514 N Hancock Ave 80903,Provides leisure space and activities for seniors
Colorado Springs Senior Dog Rescue and Hospice,info@coseniordogrescue.org!,https://coseniordogrescue.org/resources/,,resource database for animals
Colorado Springs Silvercrest Senior Residence,(719) 389-0329,https://seniorsbluebook.com/senior-housing/silvercrest-senior-residence-colorado-springs-co,"904 Yuma St, Colorado Springs, CO 80909",Senior Housing/Emergency Housing/Affordable Housing
Community Action Partnership,,https://communityactionpartnership.com/our-impact/,,"Resource Database. Embodying our nation’s spirit of hope, America’s Community Action Agencies are a robust state and local force – reaching children and families in 99% of our nation’s counties with life-changing services, from early childhood education to job training services for seniors."
Computers with Causes,720-278-7725   888-228-7320,https://www.computerswithcauses.org/computer-donation-colorado/,"6035 E 38th Ave, Denver, CO, 80207","Tech classes, internet devices, recycling old tech, internet solutions, tech support for all low income/not for profit/families and individuals, tax deduction mentioned for donations   NFP that gives computers, internet tech/etc to under priviledged families/individuals/nfp/schools/etc"
"Cool Down, the",,https://guide.thecooldown.com/explore/,,An eco-friendly guide on resources and how-to-guides for how to repurpose your life and its products to be more eco-friendly and economically viable in the long run.
Defense Finance and Accounting Service,888-332-7411,https://dfas.mil/,"Military, retired & annuitant, civilian employee, contractor and vendor",Providing payment services for the department of defense
