Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
A Mom's Guide to Survive,24 hr:970-356-4226,awpdv.org     info@awpdv.org   business: 970-351-0476,"Greeley, CO 80632","24/7 crisis line, emergency shelter, advocacy, case management, legal advocacy, housing advocacy, employment support, counseling, & education"
"A Woman’s Place, Inc.",720-734-4348,https://www.abbycare.org/paid-family-caregiving/denver-co,"Aurora, Boulder, Castle Rock, Centennial, C/S, Denver, Evergreen, Ft. Collins, Greeley, Lakewood, Longmont, Loveland, Pueblo, Thornton, Westminster",Medicaid pays for parents of kiddos with disabilities to become certified nurse assisstants and get paid by Medicaid for taking care of their children.
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only"
Adam and Son,719-528-8888,addstaffinc.com,3246 Centennial Blvd Ste 159 80907,"Employment Agency, offers programs and help in the following: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality"
Aerial clinical services,719-260-6110,719-301-2229   Fax: +1-888-302-6356  https://arielcpa.org/,"2145 Academy Cir, Colorado Springs, CO 80909","Adult services: adults with IDD-residential services w/diff levels of support, vocational services, day program, behavioral services, therapy. WAIVERS: HCBS-DD, HCBS-SLS, HCBS-CES. Children resource database."
Aid to the needy disabled,719-636-0000,888-900-5899  https://cdhs.colorado.gov/adult-financial-programs,,"The Aid to the Needy Disabled-Colorado Supplement (AND-CS) program provides a supplemental payment for clients age zero (0) to fifty-nine (59), who are receiving Supplemental Security Income (SSI) due to a disability or blindness and are not receiving the full SSI benefit. The total AND-CS grant standard is $967, effective 01/01/2025"
Adult Community Services,970-669-5150,719-428-6100  adultcommunityservices.com    admin@adultcommunityservices.com,"5390 N Academy Blvd #200, Colorado Springs, 80918","Diagnostic screening, comprehensive assessments, personalized treatment plans, crisis safety planning, crisis intervention & de-escalation, targeted case management, job application assistance, housing application support, access to food and clothing, monthly budget planning, daily living checklist, life skills"
Apple One,800-564-5644,appleone.com,1155 Kelly Johnson Blvd 80920,"Job agency with services that Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality"
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database"
Beth Haven,719-632-592-,bethhaveninc.org,"616 N Royer St, C/S, CO 80903","Mental Illness housing, must have persistent and severe mental illness and a way to pay for the services."
Better Offer,,betterofferco.org,,"Helps individuals find job training programs that put them on the path to earning at least 40,000/year"
Black Youth Success Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us,https://www.cornerstonemovement.org/bysm,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
Boys and Girls Club of America,719-570-7077  719-473-3490  719-570-6242,https://www.bgcppr.org/,1307 Aeroplaza Dr/805 Praderia Ave/ 1455 S Chelton Rd,"Youth arts, education and career development, character and leadership development, health and life skills, sports, fitness and recreation"
Career Navigator,,https://ppld.org/career-navigator-services-ppld,https://ppld.org/FIT,Career navigation looking for a new job/career
Career One High School,719-531-6333,https://pikespeak.careeronlinehs.org/how-it-works/,https://ppld.org/cohs,Career Online High School (COHS) is an online high school diploma and career certification program funded by Pikes Peak Library District. Residents living within the Library District’s service area who have completed eighth grade and are age 18 or older are eligible to apply. Ready to get started?
Career One Stop,,https://www.careeronestop.org/,,"Employment Resource Job Search, Self Assessments, Explore Careers, Scholarship Finder, Career videos"
Career Online High School,719-531-6333,https://ppld.org/cohs,https://pikespeak.careeronlinehs.org/how-it-works/,Free online GED/high school diploma sign up page
Center for Employment Opportunities,719-694-5450,http://ceoworks.org/   ceocosprings@ceoworks.orgU  nholliday@ceoworks.org,"888 Garden of the Gods Rd #110, Colorado Springs, CO 80907","Employment opportunities for those just returning home from incarceration. Will help get benefits reinstated, will interface with DHS on your behalf"
Center for Innovative Design and Engineering,303-315-1280,https://www.ucdenver.edu/center-for-innovative-design-and-engineering/community-engagement/assistive-tech-in-k-12,"1224 5th st, ste 130, Denver, CO 80204",Assistive tech for students with disabilities; can get a referral towards them through department of vocational rehabilitation
CEO Works/Labor Now,719-694-5450,ceoworks.org/colorado-springs,"888 Garden of the Gods Rd Ste 110, Colorado Springs, CO 80907",Employment Opportunities for those getting out of incarceraton
CHAC Downpayment Assistance Program,,chaconline.org/financial-assistance/down-payment-assistance-program, ,"Max amount: $2,500 to $10,000 second mortgage loan ($10,000 for those with disabilities), minimum $1,000 downpayment required, low-interest and flexible payment"
Chapter 31,,https://www.va.gov/careers-employment/vocational-rehabilitation/apply-vre-form-28-1900/start,https://www.va.gov/find-forms/about-form-28-1900/,"Helps Veterans get employment that accomodates their disabilities; helps pay tuition and fees along w/ necessary costs of textbooks and supplies, monthly scholarship and assistance with employment. To apply: visit nearest VA regional office, VA website (link included) mail in 'Application for Veteran Readiness and Employment For Claimants with Service-Connected Disabilities (VA Form 28-1900) and send to Department of Veterans Affairs VR&E Intake Center. PO Box 5210, Janesville, WI 53547-5210"
Chapter 33-Transferred Post-9/11 GI Bill benefit rates,,https://www.va.gov/family-and-caregiver-benefits/education-and-careers/transferred-gi-bill-benefits/rates/,,Rate of college tuition/etc you could get for your service
Charities' Hope,719-332-2360,https://www.charityshopecs.org/   CONTACTUS@CHARITYSHOPECS.ORG ,"201 N Chelton Rd, Colorado Springs, CO, 80909","Food, clothing pantry, rent, utilities, resume, job assistance, school supplies"
Chenoa Fund Affordable Housing Program,,chenoafund.org,,"Max amount: 5% of purchase price, repayable and forgiven (grant) downpayment assistance options, do not have to be a first-time homebuyer, no income limits in low-income census tracts, 100% of AMI for all other properties"
CHFA Down Payment Assistance Grant,,chfainfo.com/homeownership/down-payment-assistance, ,"Max amount: 3% of the first mortgage loan amount as a grant. No repayments required, can be used with other CHFA programs"
CHFA Firststep (Plus) (Targeted),,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-FirstStep.aspx, ,"Minimum $1,000 dowpayment required, can be paired with CHFA downpayment assistance grant or loan (Plus), special financing in targeted areas"
CHFA Home Access Program for Veterans and People with Disabilities, ,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-HomeAccess.aspx, ,"Max amount: first mortgage plus up to $25,000 down payment or closing cost assistance. Below market first mortgage, additional $25,000 in assistance with 0% interest and payments deferred until end of first mortgage"
CHFA Preferred (Plus) (VLIP),,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-Preferred.aspx, ,"30 year, fixed rate conventional loan, only 3% downpayment required, reduced-cost mortgage insurance required, can be paired with CHFA down payment assistance loan (plus), can be paired with Very Low-Income Program (VLIP)"
CHFA Second Mortgage Loan,,chfainfo.com/homeownership/down-payment-assistance, ,"Max amount: 4% of the first mortgage loan as a second loan. Repayment not required until payoff of first mortgage or sale/refinance of home, can be used with other CHFA programs"
CHFA SectionEight (Plus),,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-SectionEight.aspx, ,"Available to families already recieving Section 8 rental assistance, can be paired with CHFA downpayment assistance grant or loan (Plus)"
CHFA SmartStep (Plus) (Targeted),,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-SmartStep.aspx, ,"Minimum $1,000 dowpayment required, can be paired with CHFA downpayment assistance grant or loan (Plus), special financing in targeted areas"
Child Support Services,719-457-6331  719-457-6330  866-270-2606,www.elpasocountycss.com,"30 E Pikes Peak Ave Ste 203, 80903","Establishes paternity, orders support and enforces the order of support for child support payments"
Chins Up Program-Griffith Centers,719-636-2122,griffethcenters.org,17 N. Farragut Ave 80909,"Provides counseling and support services for families and children through a variety of programs. Therapeutic services focus on youth exhibiting antisocial behavior, drug use, aggression, criminal activity, inappropriate sexual behaviors, and low school performance. Services include individual, group and family therapy; testing and assessment; parenting classes; and vocational training. Family services include home-based therapy for high-risk families in crisis situations; foster care for children who have been victims of child abuse or neglect; and behavioral counseling."
Christlife Ministries,719-647-9235,http://mychristlife.org/,"2415 Lake Ave, Pueblo CO 81004","provides transitional housing, parenting programs, job preparation, peer navigation for substance abuse, and life skills."
Cobalt Advocates,303-394-1973,http://cobaltadvocates.org/,N/A,Provides funding for abortion care in CO for people who seek an abortion but are unable to pay the full cost
