Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Adult Community Services,970-669-5150,719-428-6100  adultcommunityservices.com    admin@adultcommunityservices.com,"5390 N Academy Blvd #200, Colorado Springs, 80918","Diagnostic screening, comprehensive assessments, personalized treatment plans, crisis safety planning, crisis intervention & de-escalation, targeted case management, job application assistance, housing application support, access to food and clothing, monthly budget planning, daily living checklist, life skills"
Archuletta County Resources List,,https://www.archuletacounty.org/230/Medical-Food-and-Financial-Assistance, ,Resource Database for Archuletta County
Ascending to Health Respite Care,719-635-7639,https://www.athrc.com/   referrals@athrc.com ,"1007 S Tejon St, C/S, CO 80903","Partnered with local motels, homeless recoup post hospital care. A couple of EMTs also go around offerring care in real time to the people that can't get normal care. Shelter/housing. Daily vitals check, care coordination w/ specialty providers, transport to appts and from, daily nutrition, benefits enrollment, connection to PCP, behavioral health providers, assistance navigating long-term care and other housing options. ATHRC offers trained/certified peer navigators for substance use disorders. Assistance navigating sover living apps, support services. Respite Care."
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database"
Benefits in Action,720-221-8354,https://www.benefitsinaction.org/ info@benefitsinaction.org,"12157 W Cedar Dr. Ste 100 Lakewood CO, 80228","Contacts that help sign up for Medicaid/Medicaire, SNAP, TANIF, WIC, Food delivery, Mental Wellness"
Black Youth Success Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us,https://www.cornerstonemovement.org/bysm,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
Care and Share,,careandshare.org,,"Food bank that distributes food to the other local food banks and has a database of food banks, where they are, when they're open"
Care Coordination,719-575-8998,heacares@elpasoco.com  https://www.elpasocountyhealth.org/appointments-adults-children-families/care-coordination-community-resources/,1675 W Garden of the Gods 80907,"Food, child care, behavioral health providers, transprot, housing, rent, utilities, pcp, medicaid app, food access, covid 19 info"
Catholic Diocese,,https://www.google.com/maps/d/u/0/viewer?ll=38.95534129767803%2C-104.763581449587&z=11&mid=13Yiq4bkIDfM6Gdc97-Q3fmAl90c_dq0J, ,"Interactive map to show which religious group in the area heads/leads the resources for the catholic church; rent, utilities/bills, food"
Central Seventh Day Adventist Church-Community Service Center,719-578-5616,http://coloradospringscentral22.adventistchurchconnect.org/ministries/community-service-center,"1305 N Union Blvd, C/S, CO 80909","Clothing, emergency food, USDA commodities"
Charities' Hope,719-332-2360,https://www.charityshopecs.org/   CONTACTUS@CHARITYSHOPECS.ORG ,"201 N Chelton Rd, Colorado Springs, CO, 80909","Food, clothing pantry, rent, utilities, resume, job assistance, school supplies"
Christ's Body Ministries,303-860-1272,https://www.christsbody.org/,"850 Lincoln St, Denver, CO 80203","respite care, a day shelter, food, clothing, showers, laundry, and more. They also provide transitional housing for people leaving incarceration from CDOC."
Colorado Gleaning Org,,https://nationalgleaningproject.org/gleaning-map/states/colorado/?fwp_state=co,,Colorado food waste reduction resource database
Colorado Pet Pantry,,https://coloradopetpantry.org/how-to-get-pet-food/pet-food-banks/,,"Partners with pet food pantries and regular food pantries to provide food for pets, resource database"
Colorado Springs Food Rescue,,SEE FOOD TO POWER,,Colorado Springs food waste reduction program
Community Connections Center (C-3),720-497-7747,https://www.int-cjs.org/c3,"110011 W 6th ave, 2nd floor, Lakewood CO 80215","Jefferson County Only: C3 provides connections to health care, substance use treatment, GED, computer lab, life skills, trade skills, documents, food, clothing, and much more. They work cooperatively and collaboratively to provide referrals, resources, and services to Jefferson County justice-involved individuals, in a single location."
Community Works,719-203-4758,https://www.commwrks.org/,"1652 S Circle Dr, C/S, CO, 80910","For clients-Employment Resources: will help clients of their program get clothing for jobs, will give them a prosocial place to go during the day, give them work until they are able to join the workforce (if ID issues, will help them get their birth certificate and state ID); can get them pay for certificates for construction; will help meet requirements for DHS to get your benefits/food stamps reinstated"
Compassion Food Distribution,,https://www.facebook.com/groups/CompassionFoodDistribution/?ref=share&mibextid=NSMWBT,,Food distribution for Colorado Springs
Cornerstone Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us, ,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
Cross Fire Ministries,719-447-1806,https://www.crossfireministries.org/,"3975 N Academy Vlvd, Colroado Springs, CO 80917","Food Pantry, thrift store, utility assistance, educational opportunities: cooking, super saver saturday/financial classes, support group for addiction; must rsvp before attending cooking classes; they have a program that if you sign up you can get $50 gift card to their thrift store and one free grocery trip per week through their food pantry"
Deerfield Hills Community Center,719-385-5996,http://www.coloradosprings.gov/Deerfield,"4290 Deerfield Hills Rd, Colorado Springs, CO 80916","Mobile food pantry, everyday eats (application: https://coloradosprings.gov/system/files/2024-06/everyday-eats-application-english.pdf), elementary before and after school program in HSD2 Elementary youth programs parent handbook, community playgroup, fun events for kiddos"
Denver Indian Center,303-936-2688,denverindiancenter.org,"4407 Morrison Rd, Denver CO 80219","All resources possibly needed, glasses, interview outfits, job classes, housing, food"
Disabled American Veterans,dav26co.org,dav.org,https://www.dav.org/about-dav/,"Rides to and from medical appointments, food, benefits, DVA, Chapter 26 Membership meetings, second Tuesdays, 7 pm 6880 Palmer Park Blvd open to all vets and their guests dav26co.org"
Doing His Time 72 Hour Fund / Colorado,303-300-3670,https://www.doinghistime.org/72-hour-fund/,4045 Wadsworth Blvd Ste 310 Wheat Ridge 80033,"Clothes, bus tokens, job counseling, housing, food and other basic essentials are available on a needs-driven basis for all who make an appointment."
DOLA Local Community Funding Deadlines,,https://lookerstudio.google.com/reporting/6bf90675-163a-4c84-9eb8-eef9779be136/page/T7j0C,,"Funding deadlines for housing, food, job services, medical, native populations, rural development, youth/family, veterans, transportation"
Early Connections Learning Centers,719-632-1754,earlyconnections.org,"104 E Rio Grande St, C/S, CO 80903","Children aged 6-16 years old: offering nationally accredited programs featuring a literacy-focused curriculum, family support activities, nutritious meals and snacks, physical and behavioral health support, and a team of highly qualified professionals."
Employer Tax Credit,,colorado.gov/cdle/taxcredits,,"Tax credit for employers that employ people with: vet status, food stamps, ex-felons, ssi, vocational rehab referrals, long term tanf, long-term unemployment recipients, short-term tanf recipients, designated community residents (rural renewal county)"
Everyday Eats,303-866-5700,https://cdhs.colorado.gov/CSFP,"1575 Sherman St, Denver, CO 80203","support program for qualifying Coloradans age 60+ to help keep healthy food staples in their kitchens. Known nationally as the Commodity Supplemental Food Program, Everyday Eats is quick, it's easy, and it's healthy. Participants can pick up a monthly package of cereal, canned goods and dairy with plenty of low-sodium, diabetic-friendly options to make nutritious, complete meals. Website for income limits"
Feeding Colorado,720-234-9317,https://feedingcolorado.org/find-food/     info@feedingcolorado.org,PO Box 4001 Lafayette CO 80026,"Food bank list for all of Colorado, resource database"
Feeding Friends,"1st and 3rd Thursdays, 10:30 am-when food runs out",,Mitchell High School 1205 Potter Dr 80909,Mobile Food Pantry
Food Industry Training Class,,https://ppld.org/FIT,,Four-week training program to learn skills for work as a prep cook or line cook. ServSafe Food Handler certificate
Food Not Bombs,800-884-1136,https://foodnotbombs.net/info/locations/ menu@foodbombs.net,,"Helps people get food, even vegan where possible"
Food to Power,719-470-2737,http://www.foodtopowerco.org/,"1090 S Institute St, CS, CO 80903","reduce food waste, increase food access, food education, food production, use foods from overgrown gardens, mulch from food waste, Hillside Hub"
Food Trucks Against Homelessness,,https://foodtrucksagainsthomelessness.com/,,"Food (Mondays), clothes, blankets, under clothes, socks, scarves"
Fresh Start Center,719-495-3123,https://www.freshstartcenter.com/,"7375 Adventure Way, 80923","Food distribution, employment networking, sustainable gardening, nursing support, resource networking;"
Friends of Man,303-798-2342,friendsofman.org,,"Car Repairs, hearing aids, glasses, daycare, wheel chair adaptation (joystick), corrective helmets, wheelchair repair, van accessibility, assistive tech, clothing, nursing home holiday gifts, daycare supplement, dental, food, prosthesis, glasses, wheelchair ramp, stair lift, medical equipment, custom crutches, mobility equipment, therapy, therapy camp, vehicle hand controls"
Gather Food Studios,719-308-2992,http://www.gatherfoodstudio.com/,"2011 W Colorado Ave, Colorado Springs, CO 80904","Food classes, may have ability to offer deal to us?"
God's Pantry Ministries,719-382-0643,http://godspantryco.org/,"30 Widefield Blvd, Colorado Springs, CO, 80911","Resource for getting clothing, call them before you go so they know to expect you. Food for homeless, furniture"
Good News Foundation,719-638-8985,http://careandshare.org/,"2323 E Boulder St, C/S, CO 80909",Food Distribution Center
Goodwill Career Development Center,719-203-4758,http://www.discovermygoodwill.org/programs/careerdevelopmentcenter,"1460 Garden of the Gods Rd, C/S, CO, 80907",Employment assistance/employment help; meet DHS employment requirements if food stamps were canceled due to not meeting the employment requirements
Goodwill Rehire,719-635-4483,https://goodwillcolorado.org/tag/rehire/,"1460 Garden of the Gods Rd, Colorado Springs, CO, 80907",Employment assistance/employment help; meet DHS employment requirements if food stamps were canceled due to not meeting the employment requirements
Grace's List,,https://new.graceslist.org/services/tags/colorado-springs/directory/categories/homeless-shelters/,,"emergency services directory offering a list of local homeless shelters, churches, food banks and other emergency services, resource database"
Harley's Hope,719-495-6083,harleys-hopefoundation.org,info@harleys-hopefoundation.org PO BOX 88146 C/S 80908,"Resources for pets and keeping their homes intact, financial, food, health care for pet"
Helping Hands,211 719-955-0742 :8 :5,https://research.ppld.org/HelpingHands  nflemate@ppld.org,"po box 1579 Colorado Springs, CO, 80901-1579","List of LOCAL Resources, clothing, diapers, food, resource database"
High Plains Helping Hands/Fresh Start Center,719-495-3123,https://www.freshstartcenter.com/   Facebook: Fresh Start Center,"7375 Adventure Way, C/S, CO 80923?????????","We fight hunger, poverty, joblessness through sustainable agriculture, food distribution, employment programs, nursing support and case management, health services, education for farming and gardening, healthy cooking classes, finance coaching"
Hillside Hub,719-470-2737,https://coloradospringsfoodrescue.org/hillside-food-hub,917 E Moreno Ave 80903,"We’re bringing neighbors together to grow, cook, learn about, access, gain employment, & advocate for fresh food."
Hunger Free Colorado,855-855-4626,,,Phone line food resources near you; resource database only via phone
Hungreeapp.com,partnerships@thehungreeapp.com,investors@thehungreeapp.com,,"If you/a restaurant has extra food you can feed the hungry, helps to reduce food waste"
"Intervention, inc.",303-450-6000,int-cjs.org/c3,https://www.int-cjs.org/locations    ,"addiction recovery, mental health, photo id/dL, medicaid, medical/dental, housing resources, sober living, peer support specialists, job search assistance, food and clothing, transportation, GED, trade/life skills, financial management, veterans assistance, legal resources"
Israelite Christian Church,719-392-3322,https://www.israelitecogic.org/     info@israelitecogic.org,"123 Security Blvd, Colorado Springs, CO 80911","Possible contacts: Corey or Tarrial. They offer food pantry, clothing, men and women support groups."
Jeffco Action Center,,http://theactioncenter.org/,8700 W 14th,"Food box six times a year, clothes, shoes, sheets, bicycle, limited bus passes, provide a temporary mailing address"
Mean Street Ministry,303-232-2500,meanstreetministry.org,"1380 Ammons St, Lakewood, CO 80214","Resource Guide for their area. Mean Street Ministry is a faith-based nonprofit serving the homeless and the working-poor along West and East Colfax Avenue. They provide counseling, street outreach, showers, a food bank and a café. Look for their resource guide on their website."
Mental Health Transitional Living,303-866-5170,cdhs)admissions.mgtl@state.co.us  cdhs.colorado.gov    https://cdhs.colorado.gov/mental-health-transitional-living-homes,"3824 W Princeton Cir, Building 15, Denver, CO 80236","helps with food, meds, no benis or money needed, not used within 3 months usually, NO SO, if they required locked facility, none if on M1 hold, Level 2 Home will take people out of detox, acute crisis interventions within 6 or less months. Has SI/HI in last 6 months, actively trying to harm themselves within last 6 months. Homes staffed 24/7 with QMAP. Staff are cooking and basic cleaning, most need to keep up with their own ADL, unlocked doors and hands off. Intensive case manager. Optional programs. So long as they're not decomping/isolating. They pay first, work on getting them on waivers with SSI/medicaid/etc/hcbs; needs 6 month mental health history; new homes opening up with less criteria including only 3 month mental health history, dogs?"
Mercy Today Ministries & Church,719-276-9242,facebook.com/mercytodayministries,1336 Elm Ave Canon City CO 81212,"Mercy Today Ministries provides a free lunch every Tuesday from 11am-1pm and the food bank is open on Tuesdays from 10am-1pm. They work with DOC on pre-release and re-entry and provide backpacks, hygiene, and mentoring by appointment. You may write them at PO Box 1973, Cañon City, CO 81215 or call before you get out."
Mercy's Gate,719-633-1462,mercysgatecs.org,"4360 Montebello Dr. 300, 80918","Charity, helps with resources such as food in hand, bus vouchers and thrift store vouchers  FOR SPELLING and searching PURPOSES: mercies"
Move for Hunger,732-774-0521,https://moveforhunger.org/,"Neptune, NJ","When people move out, food gets wasted. This company tries to prevent that waste. National organization"
