Name of Apartments (Updated 3/24,X = category not allowed in their sober living,,Unk = Unknown if they are/n't allowed,,,,,,,,,,,,
[Addresses and contact info below each apt] ,Sex Offenses,Violence Against Other Person,Destruction of Property,Controlled Substance,Manuf cont sub,Arson,Life-time sex offender registry,Sex Crimes Last 5 Years,On Any SO list,Medicaid,Private Pay,Medicare,M/F/A,Children?,Animals
"Birchwood Village  1b/1a $995
3618 E Uintah St #1, C/S, CO 80909
719-596-2156
https://rentbirchwoodvillage.com/ ",All allowed>>>>>>>>>>>>>>,,,,,,,,,UNK,UNK,UNK,UNK,,
"Grand Centennial Apt-mainly depends on how long ago; STUDIO: $1354
5225 Zachary Grove Colorado Springs CO 80919
719-262-8000
https://www.grandcentennialapartments.com/",X,? 7-10 Y prior?,?,X,X,X,X,X,X,UNK,UNK,UNK,UNK,,
"Grand View Apts-$1,361 1 bed/1 bath $20 screening fee
2505 E Pikes Peak Ave Colorado Springs, CO 80909
719-426-3818
https://colorado.weidner.com/apartments/co/colorado-springs/grand-view/",X,X,,,,,,,,UNK,UNK,UNK,UNK,,
"Arbor Point Apt $700
2503 Hancock Expy, Colorado Springs, CO, 80910
719-632-7708
https://www.olivebark.com/apartments/arbor-pointe",X,X,,,,,,,,UNK,UNK,UNK,UNK,,
"Aspen Creek Apartments $699
321 E Brookside St,Colorado Springs, CO
719-247-0046
http://www.olivebark.com/",X,X,X,X,,,,,,UNK,UNK,UNK,UNK,,
"Camelback Pointe Apt Homes $1371
3630 Rialto Hts, Colorado Springs, CO, 80907
719-426-3854
https://colorado.weidner.com/apartments/co/colorado-springs/camelback-pointe/index.aspx?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D",?,?,?,?,?,,?,?,?,UNK,UNK,UNK,UNK,,
"Fountain Springs Apt    $call, may have been gentrified
4325 Fountain Springs Grv, Colorado Springs, CO, 80916
719-591-4600
https://home.securityproperties.com/fountainsprings/",?,?,?,?,X,,X,?,?,UNK,UNK,UNK,UNK,,
"Elevate Apartmetns   $874 for a studio
370 Crestone Ln, Colorado Springs, CO, 80905
719-507-4215
https://www.elevateaptsco.com/",X,X,,X,,,,,,UNK,UNK,UNK,UNK,,
"Talon Hill Apt Homes      May have changed with Gentrification $300 deposit, $1622/ month
1640 Peregrine Vista Hts, Colorado Springs, CO, 80921
719-225-1850
https://talonhill.com/?utm_source=obl&utm_medium=organic",X,X,X,X,X,,X,X,X,UNK,UNK,UNK,UNK,,
"Fountain View Apartment       $625-$792 for 2 bedroom, $515-$694 for a one bedroom
909 Grinde Dr, Fountain, CO, 80817
719-382-5820
http://www.fountainviewapartments.org/",?,?,?,?,?,,?,?,?,UNK,UNK,UNK,UNK,,
"The Woods Apt  $40 application fee   ESTIMATE: $825 studio
233 E Arvada St, Colorado Springs, CO, 80905
719-578-1930
https://www.apartmentfinder.com/Colorado/Colorado-Springs-Apartments/The-Woods-Apartments-02zxgd2",?,?,?,?,?,,?,?,?,UNK,UNK,UNK,UNK,,
"Broadmoor Ridge Apt  2 bed $1,800
3893 Westmeadow Dr, Colorado Springs, Co, 80906
719-602-4292
https://www.missionrockresidential.com/apartments/co/colorado-springs/broadmoor-ridge-apartment-homes/?utm_source=GBP&utm_medium=organic",?,?,?,?,?,,?,?,?,UNK,UNK,UNK,UNK,,
"The Ivy at Cheyenne Creek  1 bd, 1 ba $1,175
1801 S Cascade Ave, Colorado Springs, CO, 80905
719-752-5400
https://www.boardwalk-rent.com/",,X,,X,,,,X,,UNK,UNK,UNK,UNK,,
"Paloma Terrace One Bedroom Apartment Homes $940-1050, pet friendly
2910 Sage St, Colorado Springs, CO, 80907
719-634-7034
https://palomaterrace.com/",X,,,,,,X,X,X,UNK,UNK,UNK,UNK,,
"Windmill Apartments $995 1 bd 1 ba
4165 Lacy Ln, Colorado Springs, CO, 80916
719-596-1744
https://www.thewindmillapartments.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=GBP&utm_medium=organic",X,X,?,After 7 y,After 7 y,,X,X,X,UNK,UNK,UNK,UNK,,
"Stetson Meadows Taos $835-$1017, deposit $350
6205 Mustang Meadows Pt, Colorado Springs, CO 80922
719-427-6425
http://www.stetsonmeadows.com/","Called, left vm",,,,,,,,X,UNK,UNK,UNK,UNK,,
"Cottonwood Terrace $call for pricing
2864 Dublin Blvd, Colorado Springs, CO, 80918
719-694-7073
https://www.cottonwoodterraceapts.com/?y_source=1_MTAzMzUyMDQyMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D",Contacted them via wbste,,,,,,,,X,UNK,UNK,UNK,UNK,,
"Meadows Point $699/1 bed/1br
233 E Arvada St, Colorado Springs, CO, 
719-247-0046
http://www.olivebark.com/",X,X,X,X,,,,,,UNK,UNK,UNK,UNK,,
"Park View  $800 studio
1470 S. Chelton Rd., Colorado Springs, CO
719-471-3468
http://www.olivebark.com/",X,X,X,X,,,,,,UNK,UNK,UNK,UNK,,
"Ithaka (Sober Living)
ithakahousing.org
kawana@ithakahousing.org
321 Mesa Rd 80905
719-578-1629",Yes,UNK,UNK,UNK,UNK,,UNK,UNK,UNK,UNK,UNK,UNK,UNK,,
"Monument House (Sober Living)
1716 E Yampa St, 80909
https://www.rockymountainsoberliving.com/
719-357-6529",Yes,UNK,UNK,UNK,UNK,,UNK,UNK,UNK,UNK,UNK,UNK,UNK,,
"Pinewood $975 for 1 bed/1 bath
https://rentpinewood.com/
3105 E Dale St C/S, CO 80909
719-596-2156
Fax 719-596-3732",Yes,UNK,UNK,UNK,UNK,,UNK,UNK,UNK,UNK,UNK,UNK,UNK,,
"A 2nd Chance Recovery Homes (Sober LIving)
719-465-6542
https://www.a2ndchancerecovery.com/ ",Yes,UNK,UNK,UNK,UNK,,UNK,UNK,UNK,UNK,UNK,UNK,UNK,,
"L & J Home Improvements, LLC (sober living)
2450 E Platte Ave, Colorado Springs, CO 80909
719-630-3236
https://ljimprovementsinc.com/ ",Yes,UNK,UNK,UNK,UNK,,UNK,UNK,UNK,UNK,UNK,UNK,UNK,,
