Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
A Mom's Guide to Survive,24 hr:970-356-4226,awpdv.org     info@awpdv.org   business: 970-351-0476,"Greeley, CO 80632","24/7 crisis line, emergency shelter, advocacy, case management, legal advocacy, housing advocacy, employment support, counseling, & education"
"A Woman’s Place, Inc.",720-734-4348,https://www.abbycare.org/paid-family-caregiving/denver-co,"Aurora, Boulder, Castle Rock, Centennial, C/S, Denver, Evergreen, Ft. Collins, Greeley, Lakewood, Longmont, Loveland, Pueblo, Thornton, Westminster",Medicaid pays for parents of kiddos with disabilities to become certified nurse assisstants and get paid by Medicaid for taking care of their children.
Accessia Health,719-373-9703,https://achievewholerecovery.com/,"1115 Elkton Dr, Ste 300, Colorado Springs, CO 80907","MAT and Mental Health Services, detox, takes medicaid, medicare, tricare, private, cash"
Adam and Son,719-528-8888,addstaffinc.com,3246 Centennial Blvd Ste 159 80907,"Employment Agency, offers programs and help in the following: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality"
Adopt Us Kids,719-428-6100,https://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918","Case Management, Life-skills, In-home therapy for adults/seniors with mental health"
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services"
Advocate Safehouse Project,719-846-6665,http://aadatrinidad.org/,"Trinidad, CO 81082",Social services for domestic violence victims
Advocates Against Domestic Assault,970-725-3412,303-985-1776,https://www.180ministries.net/,Olathe/Denver CO  MEN ONLY; may now have one house for women as well
Advocates Routt County,970-879-8888,970-356-4226   https://advocatesrc.org/," 465 Anglers Dr Ste B, Steamboat Springs, CO 80487","Routt County Resource Database, primarily dv/etc, advocates, anonymous phone line 24/7, safe house"
Affordable Housing Institute,,https://www.msudenver.edu/innovative-lifelong-learning/professional-development/housing-funding/,214 Cambridge St,"MSU Denver classes used to help tackle housing crisis in Colorado with classes on financing, property management, residential services"
"Alliance, The",719-539-7347,https://alliancechaffee.org/,"1055 E Rainbow Blvd, Salida, CO 81201","domestic violence assistance: 24/7 help line, legal court advocacy, housing assistance, support group, medical care, referrals to other sources, counseling; education for violence prevention and supporting services"
Almost Home,303-659-6199,https://www.almosthomeonline.org/,,"Services for Adams, Broomfield, Sourthern Weld Counties housing resource database; emergency assistance, guaranteed income for older adults, housing navigation center, housing stability program, emergency family shelter, severe weather program, street outreach program, respite housing program, rapid re-housing programs, workshops"
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; 
Adult Community Services,970-669-5150,719-428-6100  adultcommunityservices.com    admin@adultcommunityservices.com,"5390 N Academy Blvd #200, Colorado Springs, 80918","Diagnostic screening, comprehensive assessments, personalized treatment plans, crisis safety planning, crisis intervention & de-escalation, targeted case management, job application assistance, housing application support, access to food and clothing, monthly budget planning, daily living checklist, life skills"
Amazon Worker Whereabouts,888-892-7180,,,"If a client is working in an amazon warehouse and you need to do a whereabout call, call this number to be connected with a work verification specialist and it will give you real time updates about his location at work; has a program to give homeless the gear to make it through the winter cold."
Angel's of America's Fallen,719-377-7352,http://www.aoafallen.org/,,"""Angels of America’s Fallen is a 501(c)(3) that empowers children of fallen military, police, fire, and EMS heroes by engaging them in positive activities throughout their entire childhood. We support the children not just one time, but through a commitment to see them engaged positively in healthy activities such as sports, music, and other arts all year, every year, all the way through 18 years old without having to reapply. These provided activities have coaches or instructors who can help provide some positive mentoring the children are missing without the guidance and support of their fallen hero. We also provide trauma-informed client-centered case management, peer support for the surviving parent and children, outreach and referrals."""
Apple One,800-564-5644,appleone.com,1155 Kelly Johnson Blvd 80920,"Job agency with services that Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality"
Army Community Services,(719) 526-4590,,"6303 Wetzel Ave Bldg 1526 Fort Carson, CO 80913","Boot Camp for New Dads (3 sessions), Nuturing Parenting Program, Infant Massage, Baby Nuturing (0-18months), Cooperative Parenting through Divorce, Playgroups every Friday 10am-Noon"
Army Emergency Relief,888-878-6378,https://www.armyemergencyrelief.org/,"Arlington, VA","To provide grants, interest-free loans and scholarships to promote readiness and help relieve financial distress of Soldiers and their Families."
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset
Ascending to Health Respite Care,719-635-7639,https://www.athrc.com/   referrals@athrc.com ,"1007 S Tejon St, C/S, CO 80903","Partnered with local motels, homeless recoup post hospital care. A couple of EMTs also go around offerring care in real time to the people that can't get normal care. Shelter/housing. Daily vitals check, care coordination w/ specialty providers, transport to appts and from, daily nutrition, benefits enrollment, connection to PCP, behavioral health providers, assistance navigating long-term care and other housing options. ATHRC offers trained/certified peer navigators for substance use disorders. Assistance navigating sover living apps, support services. Respite Care."
Assissted Living Guide,,https://www.assistedliving.org/emergency-housing-guide/,,Help with assissted living for seniors
Avenues Detox and Rehab,720-704-0844,https://www.avenuesrecovery.com/locations/drug-rehab-denver-colorado/,"1820 S Potomac St, Aurora, CO 80012","Detox and rehab, 211 has heard good things about this place!"
Backpack Bed,,backpackbed.org,,"Homeless proof bed, freezing temps, water, wind, mosquito protection"
Basic Computer Classes,,https://research.ppld.org/adult-education/home,https://ppld.librarymarket.com/?program_types[162]=162&branches[387]=387&branches[375]=375&branches[86]=86&branches[87]=87&branches[88]=88&branches[89]=89&branches[382]=382&branches[90]=90&branches[91]=91&branches[92]=92&branches[93]=93&branches[94]=94&branches[95]=95&branches[96]=96&branches[97]=97&branches[98]=98&branches[99]=99&branches[100]=100&branches[80]=80,"Beginner classes for computers, peripherals, internet basics, email basics, word"
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database"
Bentley Commons,,https://www.greccio.org/bentley-commons,"2730 Bentley Pt, 80910","Partnered with Greccio Housing, Partners in Housing and Rocky Mountain Community Land Trust-affordable housing"
Beth Haven,719-632-592-,bethhaveninc.org,"616 N Royer St, C/S, CO 80903","Mental Illness housing, must have persistent and severe mental illness and a way to pay for the services."
Bike Clinic Too,719-358-3637,https://www.facebook.com/bikeclinictoo/,737 W Monument St 80904,"Providing free bicycles to those in need/homeless, expect a wait list"
Black Youth Success Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us,https://www.cornerstonemovement.org/bysm,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
Boys Town National Hotline,800-448-3000,,,"The Boys Town National Hotline is open 24 hours a day, 365 days a year and staffed by specially trained counselors. Parents, teens and families can find help with a range of issues including abuse, anger, depression, school issues, bullying etc."
Brad's House,,https://www.bradshouse.net/,,Youth Group home for at-risk youth
Brain Injury Association of Colorado,303-355-9969,https://biacolorado.org/,"Denver, CO","Provides or guides people sufferring from brain injuries for clinical therapy services, education, recreation programs (hiking, cycling, rafting, skiing, tubing and ice fishing); in Denver a housing complex for those with special needs and TBI"
Breckenridge Outdoor Education Center,970-453-6422,boec.org,"boec@boec.org  524 Wellington Rd, Breckenridge, CO 80424","Outdoor learning experience for differently abled, those with a disability/special need; adaptive skiing and snowboard program, paddling great rivers, high ropes course, offers camps and retreats for individuals and custom group programs to anyone with any type of disability throught the calendar year, scholarships for participants with financial needs"
Bright by Three,303-433-6200,earlychildhoodframework.org,"2605 Martin Luther King Blvd, Denver, CO, 80205","worked with parents and caregivers to enhance early childhood development, helping them create nurturing and responsive relationships and connecting them to valuable resources in their community. During 2018, Bright by Three collaborated with over 500 partner organizations to deliver our visitation and Bright by Text (BBT) programs"
Bright Future Foundation,970-949-7086,https://mybrightfuture.org/,"Avon, CO","24/7 crisis line, emergency shelter, housing program, behavioral health services, legal representation, youth advocacy & mentorship, sexual assault examination/forensic nurse support, & education"
Bryson's Chase Foundation,,https://www.koaa.com/news/positively-colorado/mother-son-create-nonprofit-to-help-raise-funds-for-mental-health-resources,,have health coaches and licensed clinicians that are going into the different school districts and seeing students and providing resilience-based services.
Built For Zero,,https://login.builtforzero.org/,NY NY,"An initiative where all homelessness is rare, unrepeated and swiftly prevented/mitigated, reached/successful in Douglas County"
