Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
,,,,
Abby Care,719-246-0170  719-597-5110,alifeunited.org,"76 S Sierra Madre St, Colorado Springs, CO 8903","family preservation, intense family services, supervised visitation, therapeutic visitation, advocacy, life skills-adolescent- intense, youth development project, removal prevention, youth mental health first aid, sexual abuse intervention, child and family therapy, hunger prevention program, divorce and family mediation services"
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services"
Advocates for Victims of Sexual Assault,719-486-3530,https://advocatesoflakecounty.org/,"711 Harrison Ave, Leadville, CO 80461",Lake County Resource Database
"Alliance, The",719-539-7347,https://alliancechaffee.org/,"1055 E Rainbow Blvd, Salida, CO 81201","domestic violence assistance: 24/7 help line, legal court advocacy, housing assistance, support group, medical care, referrals to other sources, counseling; education for violence prevention and supporting services"
ARRT Colorado,no ph num,https://arrtcolorado.org/thank-you/,"2851 S Parker Rd., Suite 430",Sex offender treatment
Aspen Ridge Recovery,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/",https://www.aspenridgerecoverycenters.com/colorado-drug-and-alcohol-rehab-programs/,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/","Sober living, mental health counseling, virtual care, takes SOME sex offenders"
ATSA Association for the Treatment and Prevention of Sexual Abuse,,https://www.atsa.com/#   office@atsa.com,"9450 SW Gemini Dr, PMB 24121, Beaverton, Oregon 97008-7105","Creating a world where ending sexual harm is a shared responsibility and an achievable goal. ATSA champions research and treatment, informs public policy, and advocates for best practice."
Befrienders Worldwide,212-673-3000,https://befrienders.org/,inquiries@samaritansnyc.org,International suicide prevention hotline
Bright Future Foundation,970-949-7086,https://mybrightfuture.org/,"Avon, CO","24/7 crisis line, emergency shelter, housing program, behavioral health services, legal representation, youth advocacy & mentorship, sexual assault examination/forensic nurse support, & education"
Brighter World,970-875-6984,brighterworldcac.org   office@brighterworldcac.org,"465 Anglers Drive, Ste C Steamboat Springs 80487",Child advocacy for forensic interviews after traumatic (sometimes sexual) experiences
Catholic Diocese,,https://www.google.com/maps/d/u/0/viewer?ll=38.95534129767803%2C-104.763581449587&z=11&mid=13Yiq4bkIDfM6Gdc97-Q3fmAl90c_dq0J, ,"Interactive map to show which religious group in the area heads/leads the resources for the catholic church; rent, utilities/bills, food"
Chins Up Program-Griffith Centers,719-636-2122,griffethcenters.org,17 N. Farragut Ave 80909,"Provides counseling and support services for families and children through a variety of programs. Therapeutic services focus on youth exhibiting antisocial behavior, drug use, aggression, criminal activity, inappropriate sexual behaviors, and low school performance. Services include individual, group and family therapy; testing and assessment; parenting classes; and vocational training. Family services include home-based therapy for high-risk families in crisis situations; foster care for children who have been victims of child abuse or neglect; and behavioral counseling."
Coalition for Sexual Offense Restoration,720-690-7125,josmela@gmail.com   coloradocure.org,"201 Plateau Ave, Collbran, CO 81624",*Advocacy and support network for individuals with sex offenses and their families/friends (not legal representation)
Colorado Early Intervention Program,888-777-4041   800-799-5876,https://cdec.colorado.gov/early-intervention-for-infants-and-toddlers,"710 S Ash St. Denver, 80246","child care search, family resources/support, resource database, application for child care assistance programs"
Comma Projects,,commaprojects.org,465 Anglers Dr Ste C Steamboat Springs 80487,Restorative and transformative justice project; LGBTQIAKPN
Community Intersections,719-574-6101,https://www.facebook.com/p/Community-Intersections-100057658291667/,4575 Galley Rd Ste 400 A 80915  terry.h@ci-springs.org,Adult with Mental/Physical handicaps are given a chance to learn skills/practices to build up their ability to participate in everyday tasks and life
Covenant House,1-800-388-3888,covenanthouse.org,,"24 hour helpline for homeless youth. Deals with a wide range of issues, including bullying, suicide, basic needs, health, sex, drugs and alcohol and sex assault; youth homeless shelter"
Crisis Intervention Program,866-432-8435,energyoutreach.org/cip/,,heating emergency? receive LEAP benefits? call.
Envision: You,303-214-2119,https://www.envision-you.org/,,"Provides crisis intervention and suicide prevention services to Lesbian, Gay, Bisexual, Transgender and questioning youth, multiple language options, online chat options"
Inside Out Youth Services,719-328-1056  719-315-1825,https://insideoutys.org/,"516 W Colorado Ave, Colorado Springs, CO 80905",A Colorado Springs organization that supports LGBTQIAKPN individuals that need a safe place to meet like-minded peers. They offer support to youth that are going through teh coming-out process and/or struggling with any other gender-related issues individuals may face
Interfaith Hospitality Network,719-329-1244,https://www.familypromisecos.org/interfaith-hospitality-network,"420 N Nevada Ave, Colorado Springs, CO, 80901","Shelter/Housing, parenting skills, case management community support, referral services"
"Intervention, inc.",303-450-6000,int-cjs.org/c3,https://www.int-cjs.org/locations    ,"addiction recovery, mental health, photo id/dL, medicaid, medical/dental, housing resources, sober living, peer support specialists, job search assistance, food and clothing, transportation, GED, trade/life skills, financial management, veterans assistance, legal resources"
Kid Power Colorado,719-520-1311,https://kidpowercs.org/,"2335 Robinson St, Colorado Springs 80904","Kidpower’s mission is to teach young people personal safety and confidence-building skills to reduce their risk of abduction, assault and emotional, physical and sexual abuse. Our programs are known worldwide for being positive, practical, safe and age-appropriate."
Kingdom Builders,719-247-8190 Crisis Line 24/7: 719-464-4647,info@kbflc.org,"411 Lakewood Cir, Ste C-201 C/S, CO, 80910","Advocacy Services for domestic or sexual violence survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
La Leche Leage International,919-459-2167 800-525-3242,llli.org,info@llli.org North Carlina,"Breast Feeding advice and guidance, support groups (online and in person), resource guide, information"
LGBTQIAKPN,,how-to-have-the-talk.org                       you-flourish.com,envision-you-training.org,LGBTQIAKPN mental health resource
Living Works,888-733-5484,https://livingworks.net/,Canada and International,Training for suicide prevention and intervention
Male Survivors of Sexual Trauma,719-212-1059,https://www.psychologytoday.com/us/groups/male-survivors-of-sexual-trauma-colorado-springs-co/191272,,"18+ yo, non-offending survivors, FREE  <3 <3 <3"
Men's Weekly Accountability GroupMen's Victory Group,719-203-7442,https://www.psychologytoday.com/us/groups/mon-10am-mt-victory-group-for-men-colorado-springs-co/129055   https://www.sbcounselingcenter.com/,"3225 Templeton Gap Rd, Ste 203, 80907","Men's Victory Group??? or accountability group, counselor: Ray Klein specializes in sexual addiction; no fee mentioned"
Mobarez Solutions,,https://www.mobarezsolutions.org/,,Denver Housing option for SO/sex offenders
Mr. Ballen Foundation,,https://mrballen.foundation/,,"A fund for victims of violent crimes and the families of the victims, only accepting referrals from our partner org or other victim advocacy professionals. Meant for victims of rape, genocide, homicide, violent crimes against children, sex trafficking, arson, or robbery resulting in death.To be considered, you must apply on the links provided under 'Report a Crime', 'Report Human Trafficking'."
National Association for Rational Sexual Offense Laws ,,narsol.org,,Against the registry
Once Fallen,513-238-2873,https://oncefallen.com/    https://oncefallen.com/links-page/,"Derek Logue 2211 County Rd 400 Tobias, NE 68453",Resource List for SO/Sex offenders
One Colorado,303-396-6170,https://www.one-colorado.org/,"303 E 17th Ave Ste400, Denver CO 80203","Championing equality for LGBTQIAKPN community, state policy, advocacy, health care, education."
Open Heart Advocates,970-824-2400,https://openheartadvocates.org/about-us/,"Craig, CO","24/7 crisis line, emergency shelter, sexual assault support, mental health resources, human trafficking advocacy, crime victim support, & education"
Other Side Academy,303-335-9488,https://www.theothersideacademy.com/,"1859 York St. Denver, CO 80206","The Other Side Academy is not for those seeking a quick fix to a lifetime of poor habits. A student commits to thirty months in-residence, and in many cases, this is instead of serving a prison sentence. The student may not leave campus without staff approval. The Academy does not accept sex offenders, arsonists, “dual diagnosis” applicants, or others who need special counseling we aren’t equipped to offer."
"Our mission is to proactively support wounded, ill, and injured service members in their recovery, rehabilitation, and reintegration or transition to civilian life. To achieve this, we ensure holistic and tailored support is provided to meet the needs and goals of the service members and their families and caregivers. Disability determinations of seriously ill or injured service members before separating from service. Recovery coordination program: non-medical support they need to create teh life they want. Military caregiver support: provide resources and information. Education and employment initiative, career readiness assistance. Operation Warfighter: internship program",719-352-7190,https://www.centurypa.com/senior-living/bridge-colorado-springs/,"2494 International Cir, 80910",Resources for assissted living
