Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
A Mom's Guide to Survive,24 hr:970-356-4226,awpdv.org     info@awpdv.org   business: 970-351-0476,"Greeley, CO 80632","24/7 crisis line, emergency shelter, advocacy, case management, legal advocacy, housing advocacy, employment support, counseling, & education"
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only"
Achilles Pikes Peak,303-777-5482,https://www.aclu-co.org/   info@aclu-co.org,Denver,Legal Representation-request for help form is available on their website
ACLU of Colorado,800-949-4232,"https://www.ada.gov/file-a-complaint/#:~:text=You%20can%20reach%20the%20ADA,understand%20emerging%20trends%20and%20topics.",Denver,Phone number for legal questions concerning ADA accomodations
ADA Legal Phone Number,719-528-1846,https://adamandson.com/,"2773 Briargate Blvd, Colorado Springs, CO 80920","Participants in stranded motorist fund, might give discounted repair/maintenance for cars"
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services"
"Alliance, The",719-539-7347,https://alliancechaffee.org/,"1055 E Rainbow Blvd, Salida, CO 81201","domestic violence assistance: 24/7 help line, legal court advocacy, housing assistance, support group, medical care, referrals to other sources, counseling; education for violence prevention and supporting services"
Alternative Horizons,970-247-9619,http://alternativehorizons.org/,Deborah Cave at cocafcave@yahoo.com,"24/7 hotline and advocacy services, criminal court services, bridges of hope legal project, domestic violence advocacy-based counseling services, education/awareness; resource database: stats, facts & warning signs, how to help someone being abused, diverse populations, safety planning"
Arkansas Valley Resource Center,719-384-7764,https://arkansasvalleyresourcecenter.org/,"Bent, Crowley, & Otero Counties, CO","24/7 crisis line, peer & group counseling, legal advocacy, children’s counseling, financial assistance, advocacy, & emergency shelter."
Bright Future Foundation,970-949-7086,https://mybrightfuture.org/,"Avon, CO","24/7 crisis line, emergency shelter, housing program, behavioral health services, legal representation, youth advocacy & mentorship, sexual assault examination/forensic nurse support, & education"
Brookings Research,202-540-7724,https://www.brookings.edu/articles/a-better-path-forward-for-criminal-justice-changing-prisons-to-help-people-change/,gsmedia@brookings.edu,Independent studies on prison life-tell your story
Call-a-Lawyer,719-473-6212,https://www.justicecentercos.org/call,,Legal advice; Wednesdays 7-8:30 pm MDT
Care House-thru Lutheran Family Services Rocky Mountains,719-227-7571,https://www.lfsrm.org/Visitation-Safe-Exchange,"10/ East St Vrain St, Ste 21, Colorado Springs, CO 80903","Family Visitation, foster care, kpc respite center, safecare-parent suport, adoption, pregnancy options colorado, refugee and asylee, imigration legal services"
Catholic Charities Marian House & Hanifen Center,719-475-7314 719-636-2345,ccharitiescc.org,14 W Bijou St. 80903,Shelter/Housing/Soup Kitchen/bus pass assistance/Family Immigration Services/rent/legal assistance/gas cards/id voucher
Chinook Center,719-675-9917,http://chinookcenter.org/,"2551 Airport Rd #107, Colorado Springs, CO 80910","Resource Center for personal hygiene, office supplies, reusable grocery bags, groceries, groceries delivery, ACLU of Colorado and Chinook launched a 'know your rights certificate series designed to develop activists into community defenders who have a thorough understanding of a person's rights, housing for all campaign, people's college education for the people by the people; colorado springs protest support fund, people's budget"
Coalition for Sexual Offense Restoration,720-690-7125,josmela@gmail.com   coloradocure.org,"201 Plateau Ave, Collbran, CO 81624",*Advocacy and support network for individuals with sex offenses and their families/friends (not legal representation)
Colorado Bar Association,,https://www.cobar.org/Licensed-Lawyer,,Locating a lawyer in Colorado that can work your particular case
Colorado CARE Center,,https://carecenter.us/,,"Rent, court date for eviction, mortgage, resource database, utility, relocation assistance"
Career Advance Colorado,303-620-4000,https://cccs.edu/press-releases/colorado-community-college-system-launches-free-training-for-in-demand-jobs/,Denver CO 80230,"Might be defunct Free training for construction, education, early childhood education, firefighting, forestry, law enforcement, nursing, resource database"
Colorado Criminal Justice Reform Coalition,303-825-0122,https://www.ccjrc.org/   info@ccjrc.org,"821 22nd st, Denver, CO, 80205","When criminal treatment is criminal in itself, contact these people"
Colorado Legal Form,,https://www.coloradojudicial.gov/self-help-forms,,Database search for legal forms
Colorado Legal Services,719-471-0380,https://www.coloradolegalservices.org/,"102 S Tejon, Ste 430, C/S, 80903","Colorado legal services: consumer, housing, family, landlord, tenant, default judgement, court forms, annulment, civil union, common law, divorce, id voucher problems/difficulties"
Colorado Providers Association,,https://coprovidersassociation.org/,"303 E 17th ave, Ste. 400, Denver CO 80203",Legal champions for behavioral health and SUD tx
Colorado Springs Parole,719-633-1469,https://cdoc.colorado.gov/parole-and-re-entry-services/general-information/parole-offices,"888 Garden of the Gods Rd, C/S, CO",Parole department
Colorado Springs Probation,719-385-5923,https://www.courts.state.co.us/Probation/County/Index.cfm?County_ID=6,"224 E Kiowa St, C/S, CO 80903",Probation needs?
Colorado Springs Victim Advocates,719-444-7777,Victim.AdvocacyUnit@coloradosprings.gov,https://coloradosprings.gov/police-department/page/victim-advocacy-unit,Legal/social/etc support for survivors
Comma Projects,,commaprojects.org,465 Anglers Dr Ste C Steamboat Springs 80487,Restorative and transformative justice project; LGBTQIAKPN
Community Anchor Academy,719-203-4758,thecommunityanchoracademy.org   info@communityanchor.org,"1652 S Circle, Colorado Springs, CO 80910","Empowers under-served communities to remove employment barriers through comprehensive job creation, community support, health, wellness and education initiatives; education, holistic wellness; forklift fridays-offer grants for under/non-employed; if on parole can offer even more opportunities like bus passes and more, clothing for job interviews, barbershop CLASSES, customer service certification"
Community Connections Center (C-3),720-497-7747,https://www.int-cjs.org/c3,"110011 W 6th ave, 2nd floor, Lakewood CO 80215","Jefferson County Only: C3 provides connections to health care, substance use treatment, GED, computer lab, life skills, trade skills, documents, food, clothing, and much more. They work cooperatively and collaboratively to provide referrals, resources, and services to Jefferson County justice-involved individuals, in a single location."
Community Economic Defense Project,, https://cedproject.org/      info@cedproject.org ,"1600 N Downing Denver, CO, 80218","Rental and mortgage assistance and legal support and resource database for housing issues, unexpected car tow, foreclosure. Resource database. https://cedproject.org/quick-links-for-clients/"
Community Re-entry Specialists Regional,,https://cdoc.colorado.gov/parole-and-re-entry-services/community-based-services/community-re-entry-specialists,,Help with continuum of care for those leaving incarceration/etc
Court Assisted Recovery from Eviction (CARE),719-452-5262,charlene.best@judicial.state.co.us,https://www.courts.state.co.us/userfiles/file/Court_Probation/04th_Judicial_District/El_Paso/Civil/C_A_R_E%20Court%20Assisted%20Recovery%20from%20Eviction.pdf,"Will help you recover from eviction, work towards mediation between landlord and tenant"
Court Care,719-452-5499,http://www.courtcare.org/,270 S Tejon St 80903,"Day care center providing free services at the courthouse including snacks, books, licensed child care, and activities for children while parents are in court"
Court Diversion for Unhomed,,https://coloradosprings.gov/homelessness-prevention-and-response,https://www.koaa.com/news/covering-colorado/colorado-springs-program-inside-municipal-court-aims-to-end-cycle-of-homelessness,Unhomed Outreach Court is an alternative justice program that allows criminal defendants experiencing homelessness to receive sanctions related to the resolution of homeless status in the place of fines or jail time.
Crisis Center,303-688-8484,https://www.thecrisiscenter.org/,"Littleton, CO","24/7 crisis line, emergency shelter, advocacy, individual & group therapy, legal advocacy, & education"
Defend the Fatherless,,https://www.defendthefatherless.org/,,"Offers mental health 'scholarships' to those from foster/adoptive/kinship families whom are seeking mental health services for any member of the family-providers of choice. Religious organization that offers male mentorship to those that are lacking a paternal influence concerning support and community for the emotional, educational, financial and spiritual need of the families."
Disability Law services,303-722-0300   800-531-2105,https://disabilitylawco.org/we-may-be-able-help-you,"455 Sherman St, Ste 130, Denver, CO, 80203",Low or free cost disability law
Discover Your Recovery,,hardbeauty.life/dyr,,"Maintaining recovery during or after any experience with the criminal justice system, Thursdays 6-7 pm MST"
El Paso County Combined Courts,719-452-5000,courts.state.co.us,"20 E Vermijo St, 80903",Combined Courts
El Paso County Lawyer Referral,719-473-9700,https://epcbalawyers.org/,"El Paso County Bar Association PO Box 429, C/S, CO 80901",Lawyer Referral
El Paso County Petition to Expunge Court Records,,https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/petition-expunge-court-records, ,https://www.coloradojudicial.gov/sites/default/files/2024-05/JDF302.spanish.pdf
Embrave PO Contact NON-PAROLEEs only,,Audia Newby,Will be a Parole Officer soon,Can also contact to check who has what PO
Embrave Resource Database,,https://embrave.org/justice-involved-resources/,,A small list of community resources
Embrave/CAE,719-633-1469,https://cdoc.colorado.gov/parole-and-re-entry-services/general-information/parole-offices,888 Garden of the Gods Rd,"Those that are on parole will need this info  If you successfully complete the tx at either place, parole can pay for first month rent and downpayment on an apartment"
Equal Justice Initiative,334-269-1803,eji.org/contact/,"Equal Justice Initiative, 122 Commerce St, Montgomery, AL 36104",Criminal Justice Reform Lawfirm
