Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
"A Woman’s Place, Inc.",720-734-4348,https://www.abbycare.org/paid-family-caregiving/denver-co,"Aurora, Boulder, Castle Rock, Centennial, C/S, Denver, Evergreen, Ft. Collins, Greeley, Lakewood, Longmont, Loveland, Pueblo, Thornton, Westminster",Medicaid pays for parents of kiddos with disabilities to become certified nurse assisstants and get paid by Medicaid for taking care of their children.
Abby Care,719-246-0170  719-597-5110,alifeunited.org,"76 S Sierra Madre St, Colorado Springs, CO 8903","family preservation, intense family services, supervised visitation, therapeutic visitation, advocacy, life skills-adolescent- intense, youth development project, removal prevention, youth mental health first aid, sexual abuse intervention, child and family therapy, hunger prevention program, divorce and family mediation services"
"Abundant Life Community Support Services, LLC",719-301-6106,https://coloradohealthnetwork.org/prevention-health-education/access-point/,"875 W Moreno Ave, Colorado Springs, CO 80905","Harm Reduction Services, syringe access program; multiple locations and limited hours, look at website"
Access Point,,https://www.accesswireless.com/?rc=GOG062022&gad_source=1&gclid=CjwKCAiA74G9BhAEEiwA8kNfpePyc45EDYgL07qXo7Ms3AaMcVtp0fhcRDh6FTBJqRyYHsw3qiuLeRoCT0QQAvD_BwE,,Government phone medicaid phone
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only"
Accessia Health,719-373-9703,https://achievewholerecovery.com/,"1115 Elkton Dr, Ste 300, Colorado Springs, CO 80907","MAT and Mental Health Services, detox, takes medicaid, medicare, tricare, private, cash"
Adam and Son,719-528-8888,addstaffinc.com,3246 Centennial Blvd Ste 159 80907,"Employment Agency, offers programs and help in the following: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality"
Adopt Us Kids,719-428-6100,https://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918","Case Management, Life-skills, In-home therapy for adults/seniors with mental health"
Adult Community Services,719-444-5755,,,"If an at-risk adult (senior/mentally/physically unable to take care of themselves) is being abused/taken advantage of, call these people)"
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services"
"Alliance, The",719-539-7347,https://alliancechaffee.org/,"1055 E Rainbow Blvd, Salida, CO 81201","domestic violence assistance: 24/7 help line, legal court advocacy, housing assistance, support group, medical care, referrals to other sources, counseling; education for violence prevention and supporting services"
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; 
Adult Community Services,970-669-5150,719-428-6100  adultcommunityservices.com    admin@adultcommunityservices.com,"5390 N Academy Blvd #200, Colorado Springs, 80918","Diagnostic screening, comprehensive assessments, personalized treatment plans, crisis safety planning, crisis intervention & de-escalation, targeted case management, job application assistance, housing application support, access to food and clothing, monthly budget planning, daily living checklist, life skills"
American Assistance,877-266-7212,https://www.americanassistance.com/,,"Government phone medicaid phone, sim card application"
Angel's of America's Fallen,719-377-7352,http://www.aoafallen.org/,,"""Angels of America’s Fallen is a 501(c)(3) that empowers children of fallen military, police, fire, and EMS heroes by engaging them in positive activities throughout their entire childhood. We support the children not just one time, but through a commitment to see them engaged positively in healthy activities such as sports, music, and other arts all year, every year, all the way through 18 years old without having to reapply. These provided activities have coaches or instructors who can help provide some positive mentoring the children are missing without the guidance and support of their fallen hero. We also provide trauma-informed client-centered case management, peer support for the surviving parent and children, outreach and referrals."""
