Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
Alternative Horizons,970-247-9619,http://alternativehorizons.org/,Deborah Cave at cocafcave@yahoo.com,"24/7 hotline and advocacy services, criminal court services, bridges of hope legal project, domestic violence advocacy-based counseling services, education/awareness; resource database: stats, facts & warning signs, how to help someone being abused, diverse populations, safety planning"
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; 
Care and Share,,careandshare.org,,"Food bank that distributes food to the other local food banks and has a database of food banks, where they are, when they're open"
Cedar Springs Hospital,719-633-4114,cedarspringsbhs.com,"2135 Southgate Rd, 80906","Self-care and mental health center, detox, takes IHS/Tribal/Urban (ITU insurance), Tricare, private, cash"
Colorado Coalition,,https://www.coloradocoalition.org/nativeamericanservices,,"Resource Database   Native American Services (NAS) has been facilitating Talking Circles and culturally-celebratory programming since 2003, and has expanded to include dedicated Outreach Case Management and White Bison Inc.’s “The Red Road to Wellbriety” recovery groups.   Calendar of native events."
Colorado Indigent Care Program,800-221-3943,https://hcpf.colorado.gov/colorado-indigent-care-program,,NO LONGER RUNNING (ENDED 07/01/2025) Can be used in addition to medicaid to assist with medical treatment costs. NOT an alternative to medicaid/other insurance.
Compassion Food Distribution,,https://www.facebook.com/groups/CompassionFoodDistribution/?ref=share&mibextid=NSMWBT,,Food distribution for Colorado Springs
Court Diversion for Unhomed,,https://coloradosprings.gov/homelessness-prevention-and-response,https://www.koaa.com/news/covering-colorado/colorado-springs-program-inside-municipal-court-aims-to-end-cycle-of-homelessness,Unhomed Outreach Court is an alternative justice program that allows criminal defendants experiencing homelessness to receive sanctions related to the resolution of homeless status in the place of fines or jail time.
Denver Indian Center,303-936-2688,denverindiancenter.org,"4407 Morrison Rd, Denver CO 80219","All resources possibly needed, glasses, interview outfits, job classes, housing, food"
DIFRC Denver Indian Family Resource Center,720-500-1020,difrc.org,"1330 Fox Street, Suite 3, Colorado Springs, CO 80204",Family Resources for Native American Descendents in the child protection system; resource database
DOLA Local Community Funding Deadlines,,https://lookerstudio.google.com/reporting/6bf90675-163a-4c84-9eb8-eef9779be136/page/T7j0C,,"Funding deadlines for housing, food, job services, medical, native populations, rural development, youth/family, veterans, transportation"
Federal Grants/loans,,usa.gov/tribes,,Federal loans/etc for Native Americans
Financial Coaching,405-720-0770,cfinsel@oknativeassets.org   oknativeassets.org/page-8689/9259717,,Financial coaching for Native Americans
For Pride and Honor,,https://4pahorg.wixsite.com/forprideandhonor,4pahoperations@gmail.com,"Displace, disabled, retired veterans receive laundry assistance, hygiene, clothing, project homefront contributor, support groups and employment referrals"
Free Charity Cars,,https://freecharitycars.org/,,"car donation/distribution charity; veterans, families"
Fresh Start Center,719-495-3123,https://www.freshstartcenter.com/,"7375 Adventure Way, 80923","Food distribution, employment networking, sustainable gardening, nursing support, resource networking;"
Garden of the Gods Rock Ledge Ranch Powwow,,,,"A gathering of Native Americans in the area, building a sense of community in the Springs Area"
Good News Foundation,719-638-8985,http://careandshare.org/,"2323 E Boulder St, C/S, CO 80909",Food Distribution Center
Haseya Advocate Program,719-600-3939,https://www.haseya.org/,,Indiginous Peoples Domestic Violence Support Program
Healthcare Finder,,ihs.gov/findhealthcare/,,Finds Native American approved healthcare/accepts NA healthcare
High Plains Helping Hands/Fresh Start Center,719-495-3123,https://www.freshstartcenter.com/   Facebook: Fresh Start Center,"7375 Adventure Way, C/S, CO 80923?????????","We fight hunger, poverty, joblessness through sustainable agriculture, food distribution, employment programs, nursing support and case management, health services, education for farming and gardening, healthy cooking classes, finance coaching"
Honoring Fatherhood (Denver Indian Center),720-576-0022,https://6nz.1ae.myftpupload.com/honoring-fatherhood-program/,hfp@denverindiancenter.org,Resource for fathers of Native American Descent
Housing Program,,housing_program@bia.gov,bia.gov/bia/ois/dhs/housing-program,Housing program tha timproves housing prospects for Native Americans
HUD-VASH Vouchers Housing and Urban Development,202-708-1112 tty: 202-708-1455,https://www.hud.gov/program_offices/public_indian_housing/programs/hcv/vash    CO_webmanager@hud.gov,"1670 Broadway 25th Fl Denver, CO 80202",Housing vouchers for homeless vets
JBits Sign Up,,https://www.jbits.courts.state.co.us/pas/pubaccess/govaccess.cfm, ,Alternative to looking up SID number via probation/etc; looking up any pre-approved visitors
"Nation Indian Council on Aging, Inc.",,https://www.nicoa.org/programs/technical-assistance-and-resource-center/,,May be able to help with hearing aids/medical expense costs
National Coalition Against Domestic Violence,1-737-225-3150,ncadv.org,"Austin, Texas","Resource database for domestic violence survivors, car/vehicle, deaf services, native american/indigenous services"
National Domestic Violence Hotline,800-799-7233 SAFE,,,"deaf, native american/indigenous, local, legal resources"
National Indian Council on Aging,505-292-2001,https://www.nicoa.org/programs/technical-assistance-and-resource-center/,"8500 Menaul Blvd. NE Albuquerque, NM 87112, Ste B 470","Resource Database, technical assistance and resource center for those helping elder native americans"
Native Crisis Line,741741,,,Text 'Native' to the phone number listed if you're in crisis
Native Workforce Employment,303-953-6600,https://6nz.1ae.myftpupload.com/native-workforce-program/,nwp@denverindiancenter.org,"glasses, gas cards, occupational certifications and licensures, bus vouchers, employment readiness"
Next Chapter,719-930-6811   888-719-8387,https://www.nextchapterhouse.com/   nextchapter@mtcarmelcenter.org,"530 Communication Cir C/S, CO 80905","Community wellness program serving vets and their families; Health: counseling services, telehealth therapy, support groups, alternative therapies, retreats; Transition and employment: military career transition, employment workshops, milSpouse Career Program, Vet job coaching, community partnership resources; Services: Housing and food aid, financial coaching and assistance, education programs, legal support, homeless vet outreach"
Office of Family Assistance,www.acf.hhs.gov/ofa,https://www.acf.hhs.gov/ofa,330 C St SW DC 20201,"Federal guide for grants and resources, native americans/healthy marriage and responsible fatherhood, tribal programs, indigenous resources/resource guide Native American family based assistance"
One Nation Walking Together,719-329-0251,https://www.onenationwt.org/,"3150 N Nevada Ave, 80907",Will give 1 week hotel voucher for those of indigenous people/native American people to Aspen Lodge
One Nation Walking Together,719-329-0251,onenationwt.org,3150 N Nevada Ave 80907,Native American crisis assistance
Parent Center Hub,973-642-8100,https://www.parentcenterhub.org/welcome-to-the-naptac-library/,,Native American parental resources hub
Programs-Services,,https://www.bia.gov/programs-services,,"List of more possible resources, best used by the Native American individual themselves"
Researching Ancestry,863-983-6549,stofthpo.com,"Big Cypress Reservation 34725 W Boundary Rd, Clewiston, FL 33440",Native American/Seminole/Indigenous ancestry resources
Rocky Mountain Immigrant Advocacy network,303-433-2812,https://www.rmian.org/,"7301 Federal Blvd, Ste 300 Westminster, CO 80030","RMIAN is a nonprofit organization that serves low-income adults and children in immigration proceedings. RMIAN promotes knowledge of legal rights, provides effective representation to ensure due process, works to improve detention conditions, and promotes a more humane immigration system, including alternatives to detention."
Rural Communities Tribal Programs and Resources ,,https://www.rural.gov/help-for-rural-communities/tribal-programs-and-resources,,List of Resources in the rural areas for Native Americans/resource database
S.A.F.E. Alternatives,1-800-366-8288 1-800-DONTCUT,selfinjury.com,,Self Harm help
Section 184 Indian Housing Loan Guarantee Program,,hud.gov/section184,Source of my info: https://www.hud.gov/program_offices/housing/mfh/hsgrent,
Solid Rock Food Pantry,719-393-7625,,3219 S Academy Blvd 80916,"Located in Mission Trace Shopping Center, food distribution every Tuesday 2-6pm and every Friday 4-6pm"
Special diabetes program,,https://www.federalregister.gov/documents/2022/07/29/2022-16264/special-diabetes-program-for-indians,,"It is out of date, but I figured you could use it as a jump start for your reaching out for diabetes resources specifically for you (I know if I keep digging, it'll be a rabbit hole)"
Step Denver,303-295-7837,https://stepdenver.org/,"202* Larimer St, Denver, 80205","Sober Living in Denver, highly structured living environment that gives residents knowledge, tools and community they neec to stay sober and become productive, contributing members of society. Sliding scale pay"
Supporting Courts by Creating Opportunities for Recovery SCCOR,,https://sccor.net/,,"We are empowering individuals moving through the court system to have the support and services necessary to maintain sobriety, become rehabilitated, and contributing members of society so that they do not fall back into the cycle of incarceration.   SCCOR was created in 2019 as a non-profit to offer ancillary services and resources such as food, clothing, transportation, cell phones, baby food, and clothing to individuals and graduates of Problem-Solving Courts in El Paso and Teller County."
TANF ,,https://www.acf.hhs.gov/ofa/programs/tribal/tribal-tanf,,Native TANF 
The Emergency Food Assistance Program TEFAP,,https://careandshare.org/programs/the-emergency-food-assistance-program/,,"It’s a federal program that helps supplement the diets of people living on a low income by providing them with emergency food assistance at no cost. We distribute the food through our partner food pantries and programs, and then neighbors are able to take it home."
Urban Indian Health,303-953-6600,dihfs.org,"2880 W Holden Ps, 80204????","Denver Indian Health and Family Services (DIHFS) is Denver's only Urban Indian Health Program providing culturally appropriate care for American Indian and Alaska Native adults, children, and families. We serve primarily the Denver Metropolitan area including Adams, Arapahoe, Boulder, Broomfield, Denver, Douglas, Jefferson and Weld Counties. We are uniquely positioned to meet the health needs of our patients in a culturally competent way.  We provide a variety of services including primary care, dental care, behavioral health services, diabetes management/disease prevention, and enrollment in health insurance. We can also help connect you with community partners and resources for all your health needs!"
White Bison,877-871-1495,whitebison.org   info@whitebison.org,6455 N Union Blvd Ste 102 80918,"Resource Database   Based in Colorado Springs and a proud facilitator of the Wellbriety Movement, White Bison provides sobriety, recovery, addictions prevention, and wellness/Wellbriety learning resources to the Native American/Alaskan Native community nationwide."
