Name,Phone,Web Address,Location,Reason to Contact/etc
Aerial clinical services,719-260-6110,719-301-2229   Fax: +1-888-302-6356  https://arielcpa.org/,"2145 Academy Cir, Colorado Springs, CO 80909","Adult services: adults with IDD-residential services w/diff levels of support, vocational services, day program, behavioral services, therapy. WAIVERS: HCBS-DD, HCBS-SLS, HCBS-CES. Children resource database."
Almost Home,303-659-6199,https://www.almosthomeonline.org/,,"Services for Adams, Broomfield, Sourthern Weld Counties housing resource database; emergency assistance, guaranteed income for older adults, housing navigation center, housing stability program, emergency family shelter, severe weather program, street outreach program, respite housing program, rapid re-housing programs, workshops"
Alternative Horizons,970-247-9619,http://alternativehorizons.org/,Deborah Cave at cocafcave@yahoo.com,"24/7 hotline and advocacy services, criminal court services, bridges of hope legal project, domestic violence advocacy-based counseling services, education/awareness; resource database: stats, facts & warning signs, how to help someone being abused, diverse populations, safety planning"
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database"
Colorado CARE Center,,https://carecenter.us/,,"Rent, court date for eviction, mortgage, resource database, utility, relocation assistance"
Colorado Chamber Alliance CCA,,cochamberall.com,https://cochamber.com/colorado-chamber-alliance/,Coalition of Colorado businesses that support not for profits; resource database with a pay/membership wall
Career Advance Colorado,303-620-4000,https://cccs.edu/press-releases/colorado-community-college-system-launches-free-training-for-in-demand-jobs/,Denver CO 80230,"Might be defunct Free training for construction, education, early childhood education, firefighting, forestry, law enforcement, nursing, resource database"
Colorado Early Intervention Program,888-777-4041   800-799-5876,https://cdec.colorado.gov/early-intervention-for-infants-and-toddlers,"710 S Ash St. Denver, 80246","child care search, family resources/support, resource database, application for child care assistance programs"
Colorado Gives Foundation,720-898-5900,https://coloradogivesfoundation.org/   coloradogives.org,"5855 Wadsworth Bypass Unit A, Arvada CO 80003",Jefferson County and Colorado resource database and middleman that can give possible guidance on resources and where to go for your needs in the area; Helps donors to find not for profits to donate to; resource database
Colorado Gleaning Org,,https://nationalgleaningproject.org/gleaning-map/states/colorado/?fwp_state=co,,Colorado food waste reduction resource database
Colorado Housing Connects,844-926-6632,coloradohousingconnects.org,,"Housing resource finder, resource database; Helps find events to sign up for affordable housing events (by way of a calendar that lists events and dates and times for such-not super reliable when I looked); Affordable housing questionnaire (Asks you a lot of questions to help you find housing, map on HUD may be better/less intrusive option); eviction assistance; landlord mediation; housing discrimination; buying a home; down payment assistance programs; foreclosure; home repair; refinancing; housing vouchers for landlords; tenants that need help with rent; other resources for landlords/tenants"
Colorado Kids Belong,info@cokidsbelong.org,https://americaskidsbelong.org/states/co/,"1151 Eagle Dr #464, Loveland CO, 80537",Foster parent resource database
Colorado Pet Pantry,,https://coloradopetpantry.org/how-to-get-pet-food/pet-food-banks/,,"Partners with pet food pantries and regular food pantries to provide food for pets, resource database"
Colorado Springs Senior Dog Rescue and Hospice,info@coseniordogrescue.org!,https://coseniordogrescue.org/resources/,,resource database for animals
Community Economic Defense Project,, https://cedproject.org/      info@cedproject.org ,"1600 N Downing Denver, CO, 80218","Rental and mortgage assistance and legal support and resource database for housing issues, unexpected car tow, foreclosure. Resource database. https://cedproject.org/quick-links-for-clients/"
COS Housing Authority,719-387-6700,csha.us,"831 S Nevada Ave, Colorado Springs, 80903",Housing/Shelter information/resource database
CWLA Child Welfare League of America,202-688-4200,cwla.org,"Washington, DC   cwla@cwla.org","Child advocacy, training for parents, resource database, consultation for child facing agencies, Relias partnership"
"DHSEM is responsible for all-hazards preparedness, mitigation, prevention, response and recovery",719-473-8477 9811 crisis line,https://www.namicoloradosprings.org/,"1615 S Murray Blvd, C/S, CO 80916","Helping community, self, and loved ones suffering from mental illness; resource database"
DIFRC Denver Indian Family Resource Center,720-500-1020,difrc.org,"1330 Fox Street, Suite 3, Colorado Springs, CO 80204",Family Resources for Native American Descendents in the child protection system; resource database
Disability Jobs Training,,https://www.usa.gov/disability-jobs-training,,Job resource database for those with mental or physical disabilities
Energy Outreach Colorado,,energyoutreach.org,,"affordable energy solutions for Colorado, bill assistance, resource database, sign up for liheap"
