Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?,,,,,,,,,,,,,,,,,,,,
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation,,,,,,,,,,,,,,,,,,,,
180 Ministries,303-985-1776,https://www.180ministries.net/,Olathe/Denver CO,"Sober Living, Olathe: women and women with children",,,,,,,,,,,,,,,,,,,,
Advocates of Lake County,719-486-3530,Call or text: 988,https://988colorado.com/en,,,,,,,,,,,,,,,,,,,,,
Aid to the Needy Disabled Phillips County,970-854-2280,https://phillipscounty.colorado.gov/departments/human-services/aid-to-the-needy-disabled-and,127 E Denver St Holyoke CO 80734,"Small cash assistance for those getting medical benefits for those suffering from primary diagnosis of alcohol or drug abuse, and on benefits. limited to 12 cumalitive months in a lifetime, must agree to and participate in tx, must submit to random testing and will lose benefits if they test positive 2xs in any 3 month period",,,,,,,,,,,,,,,,,,,,
Archuleta County Resource List,,https://www.archuletacounty.org/230/Medical-Food-and-Financial-Assistance,,Resource Database,,,,,,,,,,,,,,,,,,,,
Aspen Ridge Recovery,1-855-281-5588,https://www.aspenridgerecoverycenters.com/colorado-drug-and-alcohol-rehab-programs/,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/","Sober living, mental health counseling, virtual care",,,,,,,,,,,,,,,,,,,,
Canon City Colorado- CURE,,,,Members from the Cañon City area are invited to attend Southern Colorado CURE meetings in Colorado Springs.,,,,,,,,,,,,,,,,,,,,
Car Repair,,https://www.tre.org/wp-content/uploads/2017/01/Car-Repair-Resources-1.5.17.pdf,,"Car repairs, all over Colorado",,,,,,,,,,,,,,,,,,,,
Cars for Charity Inc. (FreeCharitycars.org ),720-387-5124,http://www.carsforcharity.net/   amandagearhart@carsforcharity.net,"3478 Running Deer Dr, Castle Rock, CO 80109","Cars for Charity, Inc. is a Colorado 501(c)3 non-profit organization. The purpose and mission of Cars for Charity, Inc. is to act as an enabling entity for other non-profit organizations. Many non-profit organizations are unable to have an in-house vehicle donation program, because they financially are unable to spend the money required by the Colorado Department of Revenue to obtain a Dealer's License, bond and do not have the staff, time and expertise to manage an in-house program. Cars for Charity, Inc. eliminates these obstacles. Cars for Charity holds the Dealer's License, the motor vehicle bond, and brokers the donated vehicles to the appropriate facility for direct sale, auction or as scrap.",,,,,,,,,,,,,,,,,,,,
Catholic Diocese,,https://www.google.com/maps/d/u/0/viewer?ll=38.95534129767803%2C-104.763581449587&z=11&mid=13Yiq4bkIDfM6Gdc97-Q3fmAl90c_dq0J,,"Interactive map to show which religious group in the area heads/leads the resources for the catholic church; rent, utilities/bills, food",,,,,,,,,,,,,,,,,,,,
Centennial Mental Health Center,,https://www.centennialmhc.org/resources/county-services/,,By county location of where they help you for mental health issues/crisis/etc,,,,,,,,,,,,,,,,,,,,
Child Community Services,719-440-6445,childcommunityservices.org,"5390 N Academy Blvd. #200, Colorado Springs, CO 80918 El Paso, Teller, Pueblo, Canon City, Fremont, Douglas, Denver suburbs","children counseling, crisis services, case management,  3 yo-17 yo",,,,,,,,,,,,,,,,,,,,
Colorado Community Health Alliance CCHA,(303) 256-1717,https://www.cchacares.com/for-members/connect-with-a-care-coordinator/           719-598-1540               ,Rural Resource: https://www.cchacares.com/for-providers/community-incentive-program/,"cchacares.com/findadoc  Helps find a provider that helps with specific needs and also helps get an appointment, case management via web portal",,,,,,,,,,,,,,,,,,,,
Colorado ID Project,303-837-1313,https://coloradoidproject.wordpress.com/vouchers/                         idproject@colegalserv.org,Map: https://www.google.com/maps/d/u/0/embed?ll=39.250610018640515%2C-105.56643618828127&mid=196gta4lvrfXCQHVfN0j2xRfdNWW8XlwN&z=7,Locations of possible voucher for IDs,,,,,,,,,,,,,,,,,,,,
Colorado map of public healthcare by county,,https://drive.google.com/file/d/1qToyUYfE9ONGu56z__RNqwuodxWNpt6w/view,,Colorado map of public healthcare by county,,,,,,,,,,,,,,,,,,,,
Colorado School of Mines,303-273-3000,https://www.mines.edu/,"1500 Illinois St, Golden, CO 80401",Lake County: helping lower utility bills by upgrading outdated systems for low income families and those in trailer parks,,,,,,,,,,,,,,,,,,,,
Colorado Springs Mom Collective,719-531-9400,https://cospringsmom.com/directory/listing/peak-parent-center?tab=related&view=map&category=0&zoom=15&is_mile=0&directory_radius=0&sort=oldest&p=1#sabai-inline-content-related,"917 E Moreno Ave Ste 140, 80903",Map of parent centers,,,,,,,,,,,,,,,,,,,,
Community Care Case Manager,,https://cdoc.colorado.gov/contact-a-community-care-case-manager,,DOC community care case manager for reentry continuum of care based on region,,,,,,,,,,,,,,,,,,,,
Community Education Center,970-255-2600,tech@coloradomesa.edu coloradomesa.edu/tech/community-education/index.html,"Grand Junction, Montrose, Online; 2508 Blichmann Ave Grand Junction CO 81505","CMU Tech in partnership with Colorado Mesa University and through the Community Education Center supports lifelong learning for all ages. We are committed to providing educational opportunities for personal enrichment, professional development and even non-credit career training. We offer courses in a variety of formats and time frames to meet your busy schedule.",,,,,,,,,,,,,,,,,,,,
Community Outreach Center,719-347-7638,https://www.calhan.co/around_town/health_services/_community_outreach_center.php,"328 10th St, Calhan, CO, 80808","Services for the outlying cities in EPC. Service providers in house: Aspen Point Mental Health; AARP Free Income Tax prep (no age/income requirements); EPC DHS; Pikes Peak Workforce Center, Independence Center, TESSA",,,,,,,,,,,,,,,,,,,,
Community Re-entry Specialists Regional,,https://cdoc.colorado.gov/parole-and-re-entry-services/community-based-services/community-re-entry-specialists,,Help with continuum of care for those leaving incarceration/etc,,,,,,,,,,,,,,,,,,,,
Continuum of Care,,https://cohmis.zendesk.com/hc/en-us/categories/28235421242381-Continuum-of-Care-CoC-Participating-Agencies,,Coordination of care based on counties,,,,,,,,,,,,,,,,,,,,
Discovery Cafe,719-650-5978,discoverycafe.org,"207 East Avenue, Rifle CO 81650 or 824 Cooper Ave, Glenwood Springs, CO 81601","Resources for reentry, gardening, employment, construction experience, wifi access, cooking classes, mental health services",,,,,,,,,,,,,,,,,,,,
Diversus Funding,719-572-6100,https://app.onestepsoftware.com/forms/3x371F8,App for phone: https://app.onestepsoftware.com/forms/RtU9lGY,"Diversus funds sober living housing in El Paso County, Teller, Fremont, Park, Lake, Custer and Chaffee counties",,,,,,,,,,,,,,,,,,,,
DOLA Local Community Funding Deadlines,,https://lookerstudio.google.com/reporting/6bf90675-163a-4c84-9eb8-eef9779be136/page/T7j0C,,"Funding deadlines for housing, food, job services, medical, native populations, rural development, youth/family, veterans, transportation",,,,,,,,,,,,,,,,,,,,
El Pomar Foundation,719-633-7733,elpomar.org,10 Lake Cir C/S 80906,"Rural not-for-profit grants, paid two-year program program for young professionals for developmental curriculum; free of charge meeting spaces for projects, ideas and strategic plans",,,,,,,,,,,,,,,,,,,,
Employer Tax Credit,,colorado.gov/cdle/taxcredits,,"Tax credit for employers that employ people with: vet status, food stamps, ex-felons, ssi, vocational rehab referrals, long term tanf, long-term unemployment recipients, short-term tanf recipients, designated community residents (rural renewal county)",,,,,,,,,,,,,,,,,,,,
"Family Crisis Services, Inc.",719-275-2429,https://www.familycrisisonline.org/,"Canon City, CO","24/7 crisis line, advocacy, emergency shelter, legal information & support, counseling, education, & emergency room support",,,,,,,,,,,,,,,,,,,,
Flying Horse Foundation,303-660-3583,flyinghorsefoundation.org   info@flyinghorsefoundation.org,"9663 E Palmer Divide Ave, Larkspur CO 80118","assists at-risk and underserved children through equine-assisted learning. senior program serves residents who would enjoy getting out of their environment to experience the open skies, fresh and airy serenity; El Paso Couty, Douglas County resource database, foster and adoptive family resources, develpmental relationships framework, surrounding activities",,,,,,,,,,,,,,,,,,,,
Good Neighbor Garage,720-941-5897,goodneighborgarage.com  care@ehands.org   info@goodneighborgarage.org,"16097 S Golden Rd, Golden, CO, 80401","GNG is a unique car donation program as it is one of few charities in Colorado, which allows you to claim the full-market value of your donated car. When you donate to GNG, you can maximize your tax deduction making it a win-win for all! If you have additional questions, or if you would like to find out more about donating your vehicle to Good Neighbor Garage, please contact us at (720) 941-5897 or email GNG at info@goodneighborgarage.org",,,,,,,,,,,,,,,,,,,,
Goodwill Resources,,https://goodwillcolorado.org/services/,,"Resources offered by goodwill. Help with farmers/ranchers, developmental, aging challenges, independence in agriculture trade and commerce; job training and support, LEAP (low-income energy assistance program); information technology training A+ cert, network + cert and security + cert for comptia; career development services, youth education/career development, mentoring, soft skills, work opportunities for those with disabilities (custodial), child support/improved payments and child success (impacs 303-412-3150), educational and social integration for refugee youth (CLIMB 720-392-8242), work skills and family stabilization (colorado works/tanf), soft and practical skills training (self-esteem, self-motivation, personal responsibility and reliability, cultural diversity and acceptance 720-738-0001), day program for individuals with significant disabilities, day program for individuals with developmental disabilities (POSSIBILITIES), day program for seniors (VOYAGES), in0home care: your life your way, Senior move managers (things forgotten not gone, moving service to help seniors moving into aging community/etc); in-home support services, financial support to caregivers for loved ones with disabilities on medicaid (free medical benefits); residential services (individuals with developmental and age-related challenges to remain independent); transitional students support (one-on-one job skills development for preparation for graduation); commercial contract services for businesses .",,,,,,,,,,,,,,,,,,,,
Health Solutions,719-545-2746,health.solutions,41 Montebello Rd Pueblo 81001,"Multiple locations in Trinidad, Walsenburg, Pueblo (x2); residential program, family medicine, crestone recovery; childcare services",,,,,,,,,,,,,,,,,,,,
Help the Needy: Auto Repair (Teller County),719-687-7273,http://www.htntc.org/,"117 N Center St, Woodland Prk, 80863   htntc@yahoo.com",,,,,,,,,,,,,,,,,,,,,
High Plains Helping Hands/Fresh Start Center,719-495-3123,https://www.freshstartcenter.com/   Facebook: Fresh Start Center,"7375 Adventure Way, C/S, CO 80923?????????","We fight hunger, poverty, joblessness through sustainable agriculture, food distribution, employment programs, nursing support and case management, health services, education for farming and gardening, healthy cooking classes, finance coaching",,,,,,,,,,,,,,,,,,,,
Hope House of Sterling,970-380-7885,hopehouseeasternco.org,"217 N Front St Sterling, CO 80751; PO Box 314 Sterling CO 80751","Hope House serving Northeastern Colorado supports men, women and families seeking support either through Hope House and/or a connection to another organization that may support their need. They are one of the WAGEES Community Partners that support CDOC individuals. We have a small housing program which is dedicated to men only at this time. Services include case management, connections to resources, classes, group therapy, faith-based services, life skills, and much more. For an application or more information you may visit their website.",,,,,,,,,,,,,,,,,,,,
Hud Housing,,https://ccdenver.org/housing/hud/,,Housing that is supported by HUD,,,,,,,,,,,,,,,,,,,,
Human Services for all Counties,,https://remerg.com/category/social-services/human-services/,,Human Service offices where you can apply for services and benefits based on county,,,,,,,,,,,,,,,,,,,,
Loaves and Fishes Ministry,719-275-0593,lfministries.org/,"241 Justice Center Rd, Canon City, CO, 81212","Loaves & Fishes Ministry in Fremont County provides a food pantry, emergency shelter, housing assistance, transportation, connections to medical and mental health care, and financial assistance. Loaves & Fishes is a WAGEES grant recipient and provides re-entry services for people leaving prison in Colorado in Fremont, Chaffee, Lake, and Summit counties.",,,,,,,,,,,,,,,,,,,,
Lutheran Services in America,202-499-5836,http://www.lutheranservices.org/   lsa@lutheranservices.org,100 Maryland Ave NE Washington DC 20002,"Lutheran Services in America (LSA) is one of the largest health care and human services networks in the country, representing 300 Lutheran nonprofit organizations throughout the United States and the Caribbean. LSA works to connect and empower our member organizations, which serve six million people annually, touching the lives of one in every 50 people in the U.S. every year.",,,,,,,,,,,,,,,,,,,,
Mercy Today Ministries & Church,719-276-9242,facebook.com/mercytodayministries,1336 Elm Ave Canon City CO 81212,"Mercy Today Ministries provides a free lunch every Tuesday from 11am-1pm and the food bank is open on Tuesdays from 10am-1pm. They work with DOC on pre-release and re-entry and provide backpacks, hygiene, and mentoring by appointment. You may write them at PO Box 1973, Cañon City, CO 81215 or call before you get out.",,,,,,,,,,,,,,,,,,,,
Metro Caring,303-860-7200,info@metrocaring.org  https://metrocaring.org/services/id-vouchers/,"1100 E 18th Ave, Denver CO 80218","Fresh foods market, id vouchers, community connections, birth certificate vouchers, free seeds and seedlings",,,,,,,,,,,,,,,,,,,,
