Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?,
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation,
ARRT Colorado,,https://arrtcolorado.org/thank-you/,Aurora Colorado,Sex offender treatment,
Aspen Ridge Recovery,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/",https://www.aspenridgerecoverycenters.com/colorado-drug-and-alcohol-rehab-programs/,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/","Sober living, mental health counseling, virtual care, takes SOME sex offenders",
ATSA Association for the Treatment and Prevention of Sexual Abuse,,https://www.atsa.com/#   office@atsa.com,"9450 SW Gemini Dr, PMB 24121, Beaverton, Oregon 97008-7105","Creating a world where ending sexual harm is a shared responsibility and an achievable goal. ATSA champions research and treatment, informs public policy, and advocates for best practice.",
Captain Dees,,,,Job Leads,
Chins Up Program-Griffith Centers,719-636-2122,griffethcenters.org,17 N. Farragut Ave 80909,"Provides counseling and support services for families and children through a variety of programs. Therapeutic services focus on youth exhibiting antisocial behavior, drug use, aggression, criminal activity, inappropriate sexual behaviors, and low school performance. Services include individual, group and family therapy; testing and assessment; parenting classes; and vocational training. Family services include home-based therapy for high-risk families in crisis situations; foster care for children who have been victims of child abuse or neglect; and behavioral counseling.",
Coalition for Sexual Offense Restoration,720-690-7125,josmela@gmail.com   coloradocure.org,"201 Plateau Ave, Collbran, CO 81624",*Advocacy and support network for individuals with sex offenses and their families/friends (not legal representation),
Construction,,,,Job Leads,
Jersey Mikes,,,,Job Leads,
Jimmy Johns,,,,Job Leads,
Men's Weekly Accountability GroupMen's Victory Group,719-203-7442,https://www.psychologytoday.com/us/groups/mon-10am-mt-victory-group-for-men-colorado-springs-co/129055   https://www.sbcounselingcenter.com/,"3225 Templeton Gap Rd, Ste 203, 80907","Men's Victory Group??? or accountability group, counselor: Ray Klein specializes in sexual addiction; no fee mentioned",
Micro Metals,,,,Job Leads,Not the best reputation
Mobarez Solutions,,https://www.mobarezsolutions.org/,,Denver Housing option for SO/sex offenders,
National Association for Rational Sexual Offense Laws ,,narsol.org,,Against the registry,
Once Fallen,513-238-2873,https://oncefallen.com/    https://oncefallen.com/links-page/,"Derek Logue 2211 County Rd 400 Tobias, NE 68453",Resource List for SO/Sex offenders,
Rick and Tami,,https://remerg.com/resources/rick-tami/?highlight=sex%20offender,https://remerg.com/wp-content/uploads/2022/10/RT-Helpful-Information.pdf,Denver Housing option for SO/sex offenders,
RSA Inc.,303-232-5749,https://rsacolorado.com/   info@rsacolorado.com,"1410 Vance St, Ste 107, Lakewood, CO 80214",Dedicated to the treatment and prevention of sexually abusive behavior,
Sex Aholics Anonymous,,https://saa-recovery.org/meetings/,,In person and virtual/phone meetings,
Sex Offender One Stop Resource,,https://sexoffenderonestopresource.com/colorado/colorado-resources/resources-by-county/el-paso-county-resources/,,Resources for El Paso County Sex Offenders,
Sex Offender Solutions and Education Network,800-773-4319,https://sosen.org/,"2211 CR 400 Tobias, NE 68453","SOSEN Educate the public, the news media, law enforcement and legislators with the true facts about child sexual abuse   DEFUNCT???",
Sex Offender Solutions and Education Network,800-773-4319,https://sosen.org/,"2211 CR 400 Tobias, NE 68453","SOSEN Educate the public, the news media, law enforcement and legislators with the true facts about child sexual abuse   DEFUNCT???",
Snow White Laundry,,,,Job Leads,
Taco Bell,,,,Job Leads,
