Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Working Cars for Working Families,,https://www.workingcarsforworkingfamilies.org/find-a-program/application/,,List of current programs that provide vehicles to certain clients in need
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset
Ascending to Health Respite Care,719-635-7639,https://www.athrc.com/   referrals@athrc.com ,"1007 S Tejon St, C/S, CO 80903","Partnered with local motels, homeless recoup post hospital care. A couple of EMTs also go around offerring care in real time to the people that can't get normal care. Shelter/housing. Daily vitals check, care coordination w/ specialty providers, transport to appts and from, daily nutrition, benefits enrollment, connection to PCP, behavioral health providers, assistance navigating long-term care and other housing options. ATHRC offers trained/certified peer navigators for substance use disorders. Assistance navigating sover living apps, support services. Respite Care."
Bike Clinic Too,719-358-3637,https://www.facebook.com/bikeclinictoo/,737 W Monument St 80904,"Providing free bicycles to those in need/homeless, expect a wait list"
Black Youth Success Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us,https://www.cornerstonemovement.org/bysm,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success"
Bone Marrow and Cancer Foundation,212-838-3029,http://bonemarrow.org/,"515 Madison Ave, Ste 1130, NY NY",Financial assistance for those waiting for bone marrow/stem cell/cord blood transplants; survivors can have educational fund
Brighter World,970-875-6984,brighterworldcac.org   office@brighterworldcac.org,"465 Anglers Drive, Ste C Steamboat Springs 80487",Child advocacy for forensic interviews after traumatic (sometimes sexual) experiences
Care Coordination,719-575-8998,heacares@elpasoco.com  https://www.elpasocountyhealth.org/appointments-adults-children-families/care-coordination-community-resources/,1675 W Garden of the Gods 80907,"Food, child care, behavioral health providers, transprot, housing, rent, utilities, pcp, medicaid app, food access, covid 19 info"
Cars 4 Christmas,,See cars for heroes,,"car/vehicle for families, individual, people with disabilities, veterans"
Cars for Charity Inc. (FreeCharitycars.org ),720-387-5124,http://www.carsforcharity.net/   amandagearhart@carsforcharity.net,"3478 Running Deer Dr, Castle Rock, CO 80109","Cars for Charity, Inc. is a Colorado 501(c)3 non-profit organization. The purpose and mission of Cars for Charity, Inc. is to act as an enabling entity for other non-profit organizations. Many non-profit organizations are unable to have an in-house vehicle donation program, because they financially are unable to spend the money required by the Colorado Department of Revenue to obtain a Dealer's License, bond and do not have the staff, time and expertise to manage an in-house program. Cars for Charity, Inc. eliminates these obstacles. Cars for Charity holds the Dealer's License, the motor vehicle bond, and brokers the donated vehicles to the appropriate facility for direct sale, auction or as scrap."
Cars for heroes,,https://cars4heroes.org/   https://cars4heroes.org/contact-us/,,"car/vehicles for Veterans, active-duty military, spouse of military, kid of vet/active-duty under 19, spouses of active/vet injured or handicapped in action"
Catholic Charities Marian House & Hanifen Center,719-475-7314 719-636-2345,ccharitiescc.org,14 W Bijou St. 80903,Shelter/Housing/Soup Kitchen/bus pass assistance/Family Immigration Services/rent/legal assistance/gas cards/id voucher
Charity Cars,1-800-248-1423,https://800charitycars.org/who-can-apply/,"407 Wekiva Springs Rd # 201, Longwood, FL 32779","car/vehicles for: domestic violence survivors, medically needy, natural disasters, families leaving public assistance, transitional living shelters, working poor, non-profit org, veterans/military families"
