Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
Abby Care,719-246-0170  719-597-5110,alifeunited.org,"76 S Sierra Madre St, Colorado Springs, CO 8903","family preservation, intense family services, supervised visitation, therapeutic visitation, advocacy, life skills-adolescent- intense, youth development project, removal prevention, youth mental health first aid, sexual abuse intervention, child and family therapy, hunger prevention program, divorce and family mediation services"
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only"
Accessia Health,719-373-9703,https://achievewholerecovery.com/,"1115 Elkton Dr, Ste 300, Colorado Springs, CO 80907","MAT and Mental Health Services, detox, takes medicaid, medicare, tricare, private, cash"
Achieve Whole Recovery,828-712-3737   achillespikespeak@gmail.com,https://www.achillesinternational.org/pikes-peak,"5262 N Nevada #140, Colorado Springs, CO 80918",people with disabilities recover and network and comfort one another through athletic programs and social connection
Adopt Us Kids,719-428-6100,https://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918","Case Management, Life-skills, In-home therapy for adults/seniors with mental health"
Adult Community Services,719-444-5755,,,"If an at-risk adult (senior/mentally/physically unable to take care of themselves) is being abused/taken advantage of, call these people)"
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services"
Advocate Safehouse Project,719-846-6665,http://aadatrinidad.org/,"Trinidad, CO 81082",Social services for domestic violence victims
Advocates Against Domestic Assault,970-725-3412,303-985-1776,https://www.180ministries.net/,Olathe/Denver CO  MEN ONLY; may now have one house for women as well
Advocates for Victims of Sexual Assault,719-486-3530,https://advocatesoflakecounty.org/,"711 Harrison Ave, Leadville, CO 80461",Lake County Resource Database
