Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
A Call to Men,,https://www.acalltomen.org/,"250 Merrick Road #813 Rockville Centre, NY 11570","Helping create a world where all men and boys are loving and respectful and all women, girls, and those at the margins of the margins are valued and safe. Has classes for teachers, men, coaches on their website."
Abby Care,719-246-0170  719-597-5110,alifeunited.org,"76 S Sierra Madre St, Colorado Springs, CO 8903","family preservation, intense family services, supervised visitation, therapeutic visitation, advocacy, life skills-adolescent- intense, youth development project, removal prevention, youth mental health first aid, sexual abuse intervention, child and family therapy, hunger prevention program, divorce and family mediation services"
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only"
Accessia Health,719-373-9703,https://achievewholerecovery.com/,"1115 Elkton Dr, Ste 300, Colorado Springs, CO 80907","MAT and Mental Health Services, detox, takes medicaid, medicare, tricare, private, cash"
Achieve Whole Recovery,828-712-3737   achillespikespeak@gmail.com,https://www.achillesinternational.org/pikes-peak,"5262 N Nevada #140, Colorado Springs, CO 80918",people with disabilities recover and network and comfort one another through athletic programs and social connection
Achilles Pikes Peak,303-777-5482,https://www.aclu-co.org/   info@aclu-co.org,Denver,Legal Representation-request for help form is available on their website
Adult Community Services,719-444-5755,,,"If an at-risk adult (senior/mentally/physically unable to take care of themselves) is being abused/taken advantage of, call these people)"
Affordable Housing Institute,,https://www.msudenver.edu/innovative-lifelong-learning/professional-development/housing-funding/,214 Cambridge St,"MSU Denver classes used to help tackle housing crisis in Colorado with classes on financing, property management, residential services"
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; 
Alzheimer's Connected,800-272-3900,https://alzconnected.org/,,"ALZConnected is a free online community designed for people living with dementia and those who care for them. Members can post questions about dementia-related issues, offer support, and create public and private groups around specific topics."
American Red Cross,877-272-7337,,Bldg 1217,Fort Carson military branch Red Cross
Angel's of America's Fallen,719-377-7352,http://www.aoafallen.org/,,"""Angels of America’s Fallen is a 501(c)(3) that empowers children of fallen military, police, fire, and EMS heroes by engaging them in positive activities throughout their entire childhood. We support the children not just one time, but through a commitment to see them engaged positively in healthy activities such as sports, music, and other arts all year, every year, all the way through 18 years old without having to reapply. These provided activities have coaches or instructors who can help provide some positive mentoring the children are missing without the guidance and support of their fallen hero. We also provide trauma-informed client-centered case management, peer support for the surviving parent and children, outreach and referrals."""
Arkansas Valley Resource Center,719-384-7764,https://arkansasvalleyresourcecenter.org/,"Bent, Crowley, & Otero Counties, CO","24/7 crisis line, peer & group counseling, legal advocacy, children’s counseling, financial assistance, advocacy, & emergency shelter."
Army Community Service Specialist,719-526-4590,,,"Army Community Service specialist to get helpful tips, tools and resources to thrive at Fort Carson Colorado for military and veteran assistance"
Army Community Services,(719) 526-4590,,"6303 Wetzel Ave Bldg 1526 Fort Carson, CO 80913","Boot Camp for New Dads (3 sessions), Nuturing Parenting Program, Infant Massage, Baby Nuturing (0-18months), Cooperative Parenting through Divorce, Playgroups every Friday 10am-Noon"
Army Emergency Relief,888-878-6378,https://www.armyemergencyrelief.org/,"Arlington, VA","To provide grants, interest-free loans and scholarships to promote readiness and help relieve financial distress of Soldiers and their Families."
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset
Assisstance League,719-475-1029,https://www.assistanceleague.org/colorado-springs/   assistanceleague@al-cos.org,"405 S Nevada Ave, 80903","Family and children assistance, children clothing for school, hearing tests for class, for kids coming of age and out of the system a mattress box spring frame and bedding for first place, stuffed bear for kiddos surviving trauma; thrift store bargain box"
ATSA Association for the Treatment and Prevention of Sexual Abuse,,https://www.atsa.com/#   office@atsa.com,"9450 SW Gemini Dr, PMB 24121, Beaverton, Oregon 97008-7105","Creating a world where ending sexual harm is a shared responsibility and an achievable goal. ATSA champions research and treatment, informs public policy, and advocates for best practice."
Bright by Three,303-433-6200,earlychildhoodframework.org,"2605 Martin Luther King Blvd, Denver, CO, 80205","worked with parents and caregivers to enhance early childhood development, helping them create nurturing and responsive relationships and connecting them to valuable resources in their community. During 2018, Bright by Three collaborated with over 500 partner organizations to deliver our visitation and Bright by Text (BBT) programs"
Calvary United Methodist Church,719-599-7250,http://www.calvary-umc.org/default.asp?sec_id=180006283,4210 Austin Bluffs Pkwy,Ministry of Cars
Cars 4 Christmas,,See cars for heroes,,"car/vehicle for families, individual, people with disabilities, veterans"
Cars for heroes,,https://cars4heroes.org/   https://cars4heroes.org/contact-us/,,"car/vehicles for Veterans, active-duty military, spouse of military, kid of vet/active-duty under 19, spouses of active/vet injured or handicapped in action"
Cases of Love,,https://www.facebook.com/CasesofLoveSuitCasesForFosterKids/?__cft__%5b0%5d=AZUe1oekhGUaul3ZlUVBpwbT4PD3xB2Z_skliwjjqanXeSxri786eKHZ9rGUNWWNTWbpO9YTMCgmLOp9VzCBA6iQ8vRi6vkdQjzaDvaYAxzVfcrEvMCfu7Z2CfzhuskTj5T83kBpqNbfsvQ5dmMD890qobT-QUPT23RLduGRWbRIgzEnY0m4ZrUsnZPOnPBGfcs&__tn__=kK-R,Colorado Springs,Suitcases and duffel bags and unopened hygiene products school supplies for foster kids
Cedar Springs Hospital,719-633-4114,cedarspringsbhs.com,"2135 Southgate Rd, 80906","Self-care and mental health center, detox, takes IHS/Tribal/Urban (ITU insurance), Tricare, private, cash"
Center for Innovative Design and Engineering,303-315-1280,https://www.ucdenver.edu/center-for-innovative-design-and-engineering/community-engagement/assistive-tech-in-k-12,"1224 5th st, ste 130, Denver, CO 80204",Assistive tech for students with disabilities; can get a referral towards them through department of vocational rehabilitation
Chapter 31,,https://www.va.gov/careers-employment/vocational-rehabilitation/apply-vre-form-28-1900/start,https://www.va.gov/find-forms/about-form-28-1900/,"Helps Veterans get employment that accomodates their disabilities; helps pay tuition and fees along w/ necessary costs of textbooks and supplies, monthly scholarship and assistance with employment. To apply: visit nearest VA regional office, VA website (link included) mail in 'Application for Veteran Readiness and Employment For Claimants with Service-Connected Disabilities (VA Form 28-1900) and send to Department of Veterans Affairs VR&E Intake Center. PO Box 5210, Janesville, WI 53547-5210"
Chapter 33-Transferred Post-9/11 GI Bill benefit rates,,https://www.va.gov/family-and-caregiver-benefits/education-and-careers/transferred-gi-bill-benefits/rates/,,Rate of college tuition/etc you could get for your service
Charity Cars,1-800-248-1423,https://800charitycars.org/who-can-apply/,"407 Wekiva Springs Rd # 201, Longwood, FL 32779","car/vehicles for: domestic violence survivors, medically needy, natural disasters, families leaving public assistance, transitional living shelters, working poor, non-profit org, veterans/military families"
CHFA Home Access Program for Veterans and People with Disabilities, ,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-HomeAccess.aspx, ,"Max amount: first mortgage plus up to $25,000 down payment or closing cost assistance. Below market first mortgage, additional $25,000 in assistance with 0% interest and payments deferred until end of first mortgage"
CHFA SectionEight (Plus),,chfainfo.com/participating-lenders/single-family/Pages/Programs-Forms-CHFA-SectionEight.aspx, ,"Available to families already recieving Section 8 rental assistance, can be paired with CHFA downpayment assistance grant or loan (Plus)"
Chins Up Program-Griffith Centers,719-636-2122,griffethcenters.org,17 N. Farragut Ave 80909,"Provides counseling and support services for families and children through a variety of programs. Therapeutic services focus on youth exhibiting antisocial behavior, drug use, aggression, criminal activity, inappropriate sexual behaviors, and low school performance. Services include individual, group and family therapy; testing and assessment; parenting classes; and vocational training. Family services include home-based therapy for high-risk families in crisis situations; foster care for children who have been victims of child abuse or neglect; and behavioral counseling."
City of Colorado Springs Bus Terminal,,,Nevada and Kiowa St,Main Bus Hub
Colorado Access,720-873-6083,Contact Colorado Access Support,"11100 E Bethany Dr, Aurora CO 80014","Nonprofit health plan founded in 1994 offering Medicaid services to individuals and families.    At Colorado Access we partner with communities to empower people through access to quality, equitable, and affordable care. We value diversity of cultures, backgrounds, and perspectives. We commit to building the awareness and knowledge necessary to collaborate with colleagues, providers, members, and communities in a culturally appropriate way. We respect and embrace individuality while fostering an experience of inclusivity and belonging. We promote a culture in which our employees are appreciated, accepted, and feel connected to our mission. We will lead and inspire others who share in our commitment to diversity, equity, and inclusion, and together we will create healthy communities and achieve health equity."
Career Advance Colorado,303-620-4000,https://cccs.edu/press-releases/colorado-community-college-system-launches-free-training-for-in-demand-jobs/,Denver CO 80230,"Might be defunct Free training for construction, education, early childhood education, firefighting, forestry, law enforcement, nursing, resource database"
Colorado Gives Foundation,720-898-5900,https://coloradogivesfoundation.org/   coloradogives.org,"5855 Wadsworth Bypass Unit A, Arvada CO 80003",Jefferson County and Colorado resource database and middleman that can give possible guidance on resources and where to go for your needs in the area; Helps donors to find not for profits to donate to; resource database
Colorado Homeless Families,303-420-6634,info@chfrb.org   https://causes.benevity.org/causes/840-841049318?lang=en,Arvada,Emergency Housing for families
Colorado Housing and Urban Development,(719) 387-6700,https://www.hud.gov/co,"831 S Nevada Ave #2, 80903","Housing resources database, sign up for section 8, 811/162/42/202/housing assistance"
Colorado Laser Clinic,719-596-4000,https://www.coloradolaserclinic.com/,"1985 Dominion Way, Colorado Springs 80918",Gang tattoo removal program for under 25 yo
Colorado Ovarian Cancer Alliance,720-971-9436,http://colo-ovariancancer.org/programs/financialassistance/cocacares-financial-assistance-program,"8801 E Hampden Ave #104, Denver",Limited finan. assis. to those with ovarian cancer
Colorado Respite Coalition,303-233-1666,https://www.coloradorespitecoalition.org/,"393 S Harlan St Ste 250, Lakewood CO 80226","Resource database; Colorado Respite Coalition exists to encourage caregivers to take a break. Our vision is that all Colorado family caregivers have access to quality respite care resources—resources that allow them to take a break from caregiving—through a sustainable network that promotes collaboration and innovation. Training and education for caregivers, networking and support for professional caregivers"
Colorado Springs Gov't Bus Passes,719-385-5257,https://coloradosprings.gov/document/2024buspassrequest.pdf,"30 S Nevada Ave Ste 701, CS 80903",Provides bus passes to low income and those experiencing homelessness
Colorado Springs Police Department,719-444-3140,https://coloradosprings.gov/police-department,705 S Nevada Ave,
Colorado Springs Veterans Administration,719-327-5660,denver.va.gov,"3141 Centennial Blvd, 80907",Veterans assistance programs
Colorado Veteran's Business Outreach Center,719-772-7000,vboc@mtcarmelcenter.org   veteranscenter.org/vboc,"530 Communication Cir, C/S, CO 80905","workshops, training, counseling, mentorship, resource partner network access"
Comeback Yoga,,comebackyoga.org,,Free in person yoga and online classes for vets and active military and their families
Community Advancing Public Safety-CAPS,,https://springscaps.org/,,"volunteers (18 & up) in a public safety partnership with the City’s Police and Fire Departments and the Pikes Peak Regional Office of Emergency Management. While volunteers have been an integral part of daily operations throughout the police department for over forty years, CAPS catapulted the program to unsurpassed levels of success and unparalleled accomplishments."
Community Education Center,970-255-2600,tech@coloradomesa.edu coloradomesa.edu/tech/community-education/index.html,"Grand Junction, Montrose, Online; 2508 Blichmann Ave Grand Junction CO 81505","CMU Tech in partnership with Colorado Mesa University and through the Community Education Center supports lifelong learning for all ages. We are committed to providing educational opportunities for personal enrichment, professional development and even non-credit career training. We offer courses in a variety of formats and time frames to meet your busy schedule."
Community Resources and Referral Center CRRC,303-294-5600,https://www.va.gov/directory/guide/facility.asp?id=39,"3836 York St, Denver, CO, 80205","CRRCs provide Veterans who are homeless and at risk of homelessness with one-stop access to community-based, multiagency services. Closest one in Denver in Inner City Health?"
COS Housing Authority,719-387-6700,csha.us,"831 S Nevada Ave, Colorado Springs, 80903",Housing/Shelter information/resource database
Criminal Investigation Division,844-253-691-4001,cid.army.mil    https://www.p3tips.com/tipform.aspx?ID=325,"6525 Specker Ave Bldg 1816, Fort Carson 80913",Army crime investigators  usarmy.carson.hqda-usacid.mbx.public@army.mil
Defense Finance and Accounting Service,888-332-7411,https://dfas.mil/,"Military, retired & annuitant, civilian employee, contractor and vendor",Providing payment services for the department of defense
Disabled American Veterans,dav26co.org,dav.org,https://www.dav.org/about-dav/,"Rides to and from medical appointments, food, benefits, DVA, Chapter 26 Membership meetings, second Tuesdays, 7 pm 6880 Palmer Park Blvd open to all vets and their guests dav26co.org"
Discharge Upgrade,,https://www.va.gov/discharge-upgrade-instructions/questions,,"If you wish to try to upgrade your military discharge, follow the instructions and answer the questions starting on this page."
District 5 VFW Warriors,,facebook.com/vfwwarriorscolorado/  d5vfwwarriors@gmail.com,Colorado Springs,Not for profit veteran motorcycle club
Doing His Time 72 Hour Fund / Colorado,303-300-3670,https://www.doinghistime.org/72-hour-fund/,4045 Wadsworth Blvd Ste 310 Wheat Ridge 80033,"Clothes, bus tokens, job counseling, housing, food and other basic essentials are available on a needs-driven basis for all who make an appointment."
DOLA Local Community Funding Deadlines,,https://lookerstudio.google.com/reporting/6bf90675-163a-4c84-9eb8-eef9779be136/page/T7j0C,,"Funding deadlines for housing, food, job services, medical, native populations, rural development, youth/family, veterans, transportation"
Domiciliary Care for Homeless Vets DCHV,1-877-424-3838,https://www.va.gov/homeless/dchv.asp,,"24/7 residential medical support to help veterans rebuild their lives; The Domiciliary Care Program is the Department of Veterans Affairs (VA) oldest health care program. Established through legislation passed in the late 1860's, the Domiciliary's purpose was to provide a home for disabled volunteer soldiers of the Civil War. Domiciliary care was initially established to provide services to economically-disadvantaged Veterans, and it remains committed to serving that group. The Domiciliary has evolved from a ""Soldiers' Home"" to become an active clinical rehabilitation and treatment program for male and female Veterans and domiciliary programs are is now integrated with the Mental Health Residential Rehabilitation and Treatment Programs (MH RRTPs)."
Donate a Car to Help Our Vets,888-480-8387,https://carshelpingveterans.org/secure/donate-a-car.php?--&gad_source=1&gclid=Cj0KCQiAsOq6BhDuARIsAGQ4-zjsIBuaRxPTa5fcd15nLLkEN_i0Azt_esPPXoYepfbEJqRKpcTN9OwaAndQEALw_wcB,,Fill out the online form and then they'll call at some time in the next few business days in order to set up a pick up time and location. 
Dungarvin Colorado,303-423-7660,dungarvin.com,"4704 Harlan St STE 150, Denver, CO 80212","A little about us: Dungarvin is a national organization of privately owned companies that are dedicated to providing high quality, community-based supports to people with varying support needs. Dungarvin provides a variety of individually tailored services and supports under the Medicaid Home and Community Based Waiver. Other services provided include day services, supported employment, case management, supported foster care, children’s services, respite care, host homes and supports for persons with traumatic brain injury and mental health needs in several states.  Our quality services are flexible and responsive to individual needs and choices, while maintaining the fiscal integrity that ensures the long-term stability and security every person expects and deserves."
