MOST SEVERE WEATHER IS ACTIVATED WHEN THE TEMPERATURES DROP TO 32 DEGREES WITH PRECIPITATION OR 20 DEGREES; EXTREME WEATHER ACTIVATES EMERGENCY SHELTERING WITH ZERO DEGREE TEMPERATURE OR SUSTAINED WINDCHILL BELOW ZERO DEGREES FOR >6 HOURS; SPECIFIC THRESHOLDS ARE LISTED BELOW,,,,,,,,,,,,
Name of Organization,County/Region,Activation Threshold,Phone,Email,Address,Hours of Operation,Population Served,Shelter or Motel Vouchers?,Reservation Required?,Pets allowed?,Website,Additional Notes
Recovery Works/Bayaud,Lakewood,Activated at 32°F and accumulated precipitation or 20°F with or without precipitation,,,8000 W Colfax Ave,7pm-7am,Individuals or Couples without children,Shelter,No,Yes,,Individuals can walk-in
Jefferson County Human Services,Jefferson County,,303-271-1388,,,M-Th 730a-530p,Families with Children,Motel Vouchers,NA,NA,,
The Action Center,Jefferson County,,303-237-7704,,,"M, T, Th, F 930a-1130a&1p-3p",Families with Children,Motel Vouchers,NA,NA,,
,Mountain Communities,,720-598-2653,,,,Families with Children,Motel Vouchers,NA,NA,,
,Colorado,,211,,,,Families with Children,Motel Vouchers,,,,
Evergreen Christian Outreach (EChO) Shelter,Mountain Communities,Open every night mid-Oct through April to accommodate singles and families,720-598-2653,,,6p-7a,Individuals and Families,Overnight Every Night Shelter,call hotline number and leave a message to be called back,Yes,,Guests must register with a CM to complete criminal background/SO check.
The MAC,Westminster,Activated during extreme weather at 0°F,,,3295 W 72nd Ave,24-48 hours,,Extreme Weather Emergency Shelter,,,,
Mission Arvada/The Rising,Arvada,Activated at 20°F or 6 inches of snow,720-334-8584,,7500 W 57th Ave,Nov1-March31 6p-7a,adults 18+,Overnight Shelter,No,Yes,,"No sobriety requirement, no ID, no background checks, behavioral based. Do not have to be enrolled in their day program. · To register, guests need to sign up at Mission Arvada 9am-1pm Monday-Friday."
Family Tree,Denver Metro Area,,,,,,,Motel Vouchers,,,,Must be in their program
Jeffco Public Schools,Jefferson County,,,,,,,Motel Vouchers,,,,Must be in their program
Lakewood Homeless Navigator,Lakewood,,,,,,,Motel Vouchers,,,,Must be in their program
Safe Parking Initiative,,,,,,,,Motel Vouchers,,,,LIMITED FOR SAFE PARKERS ONLY
SWAP,Adams/Broomfield,,,,,,,Motel Vouchers,,,,ENROLLED CLIENTS ONLY
HAAT Force,,,720-483-7864,,,Oct-April,anyone,Motel Vouchers,,,"https://www.haatforce.org/about-us.html#:~:text=Severe%20weather%20shelter%20was%20identified,Director%20and%20Severe%20Weather%20Assistant.","As severe weather approaches, please call our hotline number, 720-483-7864, to determine whether motel vouchers will be issued on a given day, at what location and what specific times."
Movement 5280,,,,,,,,,,,,
Arapahoe County Housing Navigators,Arapahoe County,,303-738-8088,,various locations,,,Motel Vouchers,,,,Must be in their program
Aurora Day Resource Center,Aurora,cold weather activation,303-343-7808,Text WARMUP to 313131 for up to date information,,24/7,,shelter,first come first serve,,https://www.englewoodco.gov/our-city/community/homelessness-initiative/severe-weather-shelter-resources,Also warming shelters on this website for Englewood
County Extreme Weather Mobile Shelters,Jefferson County,,,,Locations determined per event and will be communicated in advance.,TBD at 10 degree nights,,Extreme Weather Emergency Shelter,,,,
HOPE COS,Colorado Springs,"under 19 degrees, may vary by location",,,multiple locations,,,Warming Shelter,,,https://hopecos.org/warming-shelter-information/,"serves breakfast, provides transportation"
Springs Rescue Mission,Colorado Springs,under 19 degrees,,,,,,"day shelter under 19 degrees, overnight every night",,,,provides meals
Catholic Charities,Colorado Springs,under 32 degrees,,,,9a-3p,,day shelter,,,,
