Name/Title,Ph. Number,Web Address/Email,Phys. Address,Why would you contact them?
Harry Potter,7-859-444,HP@MOM.gov,"12 Grimald Pl London, England",Dementor Infestation
180 Ministries,office: 303-985-1776,https://www.180ministries.net/,"Men: Denver. women;Women with children: 7750 6025 Rd, Olathe CO 81425 970-323-6013","Sober Living, Olathe: women and women with children"
"A Woman’s Place, Inc.",720-734-4348,https://www.abbycare.org/paid-family-caregiving/denver-co,"Aurora, Boulder, Castle Rock, Centennial, C/S, Denver, Evergreen, Ft. Collins, Greeley, Lakewood, Longmont, Loveland, Pueblo, Thornton, Westminster",Medicaid pays for parents of kiddos with disabilities to become certified nurse assisstants and get paid by Medicaid for taking care of their children.
Abby Care,719-246-0170  719-597-5110,alifeunited.org,"76 S Sierra Madre St, Colorado Springs, CO 8903","family preservation, intense family services, supervised visitation, therapeutic visitation, advocacy, life skills-adolescent- intense, youth development project, removal prevention, youth mental health first aid, sexual abuse intervention, child and family therapy, hunger prevention program, divorce and family mediation services"
"ADD Staff, Inc.",888-200-4005,adoptuskids.org  info@adoptuskids.org  espanol@adoptuskids.org,No phys address???,National project that supports child welfare systems and connects kids in foster care with families
Adopt Us Kids,719-428-6100,https://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918","Case Management, Life-skills, In-home therapy for adults/seniors with mental health"
Adult Protective Services,,http://www.ascasupport.org/events.php,,Support group list for people that have survived childhood abuse
Adult Survivors of Childhood Abuse,(719) 212-1254,https://www.psychologytoday.com/us/groups/adults-molested-as-children-colorado-springs-co/191417, ,Support Group for Men that survived molestation as children-non offending
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services"
Aerial clinical services,719-260-6110,719-301-2229   Fax: +1-888-302-6356  https://arielcpa.org/,"2145 Academy Cir, Colorado Springs, CO 80909","Adult services: adults with IDD-residential services w/diff levels of support, vocational services, day program, behavioral services, therapy. WAIVERS: HCBS-DD, HCBS-SLS, HCBS-CES. Children resource database."
